"Plot Title: Mendota Deephole 15 m"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21483255, SEN S/N: 21483255)","Temp, °C (LGR S/N: 21483255, SEN S/N: 21483255)","Coupler Detached (LGR S/N: 21483255)","Coupler Attached (LGR S/N: 21483255)","Host Connected (LGR S/N: 21483255)","Stopped (LGR S/N: 21483255)","End Of File (LGR S/N: 21483255)"
1,10/07/22 12:00:00 AM,466.1,14.74,Logged,,,,
2,10/07/22 12:30:00 AM,467.1,14.32,,,,,
3,10/07/22 01:00:00 AM,466.9,14.67,,,,,
4,10/07/22 01:30:00 AM,464.3,13.47,,,,,
5,10/07/22 02:00:00 AM,465.4,13.66,,,,,
6,10/07/22 02:30:00 AM,466.0,14.01,,,,,
7,10/07/22 03:00:00 AM,464.8,14.01,,,,,
8,10/07/22 03:30:00 AM,467.1,14.23,,,,,
9,10/07/22 04:00:00 AM,466.6,14.52,,,,,
10,10/07/22 04:30:00 AM,465.8,14.45,,,,,
11,10/07/22 05:00:00 AM,465.5,14.36,,,,,
12,10/07/22 05:30:00 AM,466.7,14.32,,,,,
13,10/07/22 06:00:00 AM,467.6,14.14,,,,,
14,10/07/22 06:30:00 AM,467.0,14.43,,,,,
15,10/07/22 07:00:00 AM,465.5,14.34,,,,,
16,10/07/22 07:30:00 AM,465.9,14.26,,,,,
17,10/07/22 08:00:00 AM,465.5,14.23,,,,,
18,10/07/22 08:30:00 AM,465.3,13.95,,,,,
19,10/07/22 09:00:00 AM,464.2,13.77,,,,,
20,10/07/22 09:30:00 AM,465.0,13.74,,,,,
21,10/07/22 10:00:00 AM,465.6,14.03,,,,,
22,10/07/22 10:30:00 AM,467.5,14.34,,,,,
23,10/07/22 11:00:00 AM,465.7,14.63,,,,,
24,10/07/22 11:30:00 AM,470.0,14.85,,,,,
25,10/07/22 12:00:00 PM,459.4,15.23,,,,,
26,10/07/22 12:30:00 PM,459.5,15.02,,,,,
27,10/07/22 01:00:00 PM,461.3,14.67,,,,,
28,10/07/22 01:30:00 PM,462.5,14.59,,,,,
29,10/07/22 02:00:00 PM,466.0,14.01,,,,,
30,10/07/22 02:30:00 PM,455.8,14.53,,,,,
31,10/07/22 03:00:00 PM,452.5,14.63,,,,,
32,10/07/22 03:30:00 PM,448.3,14.98,,,,,
33,10/07/22 04:00:00 PM,449.6,14.79,,,,,
34,10/07/22 04:30:00 PM,448.4,14.89,,,,,
35,10/07/22 05:00:00 PM,459.9,15.04,,,,,
36,10/07/22 05:30:00 PM,443.7,15.39,,,,,
37,10/07/22 06:00:00 PM,443.7,15.44,,,,,
38,10/07/22 06:30:00 PM,445.3,15.49,,,,,
39,10/07/22 07:00:00 PM,448.5,15.48,,,,,
40,10/07/22 07:30:00 PM,447.7,15.42,,,,,
41,10/07/22 08:00:00 PM,448.1,15.41,,,,,
42,10/07/22 08:30:00 PM,449.8,15.29,,,,,
43,10/07/22 09:00:00 PM,447.5,15.09,,,,,
44,10/07/22 09:30:00 PM,448.3,15.10,,,,,
45,10/07/22 10:00:00 PM,461.0,14.47,,,,,
46,10/07/22 10:30:00 PM,462.3,14.22,,,,,
47,10/07/22 11:00:00 PM,460.1,14.65,,,,,
48,10/07/22 11:30:00 PM,454.0,14.82,,,,,
49,10/08/22 12:00:00 AM,453.8,15.28,,,,,
50,10/08/22 12:30:00 AM,441.6,16.62,,,,,
51,10/08/22 01:00:00 AM,441.2,16.53,,,,,
52,10/08/22 01:30:00 AM,441.5,16.68,,,,,
53,10/08/22 02:00:00 AM,441.2,16.64,,,,,
