"Plot Title: Monona 5 (?) m"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21506927, SEN S/N: 21506927)","Temp, °C (LGR S/N: 21506927, SEN S/N: 21506927)","Coupler Detached (LGR S/N: 21506927)","Coupler Attached (LGR S/N: 21506927)","Host Connected (LGR S/N: 21506927)","Stopped (LGR S/N: 21506927)","End Of File (LGR S/N: 21506927)"
1,10/10/22 10:00:00 PM,505.1,15.77,Logged,,,,
2,10/10/22 10:30:00 PM,504.7,15.77,,,,,
3,10/10/22 11:00:00 PM,505.1,15.77,,,,,
4,10/10/22 11:30:00 PM,505.5,15.80,,,,,
5,10/11/22 12:00:00 AM,504.7,15.85,,,,,
6,10/11/22 12:30:00 AM,504.7,15.83,,,,,
7,10/11/22 01:00:00 AM,504.7,15.80,,,,,
8,10/11/22 01:30:00 AM,504.7,15.77,,,,,
9,10/11/22 02:00:00 AM,504.7,15.75,,,,,
10,10/11/22 02:30:00 AM,504.7,15.69,,,,,
11,10/11/22 03:00:00 AM,504.7,15.70,,,,,
12,10/11/22 03:30:00 AM,503.9,15.67,,,,,
13,10/11/22 04:00:00 AM,504.3,15.70,,,,,
14,10/11/22 04:30:00 AM,504.3,15.72,,,,,
15,10/11/22 05:00:00 AM,504.3,15.72,,,,,
16,10/11/22 05:30:00 AM,504.3,15.71,,,,,
17,10/11/22 06:00:00 AM,504.3,15.71,,,,,
18,10/11/22 06:30:00 AM,504.3,15.70,,,,,
19,10/11/22 07:00:00 AM,503.9,15.69,,,,,
20,10/11/22 07:30:00 AM,503.5,15.69,,,,,
21,10/11/22 08:00:00 AM,503.5,15.67,,,,,
22,10/11/22 08:30:00 AM,503.5,15.66,,,,,
23,10/11/22 09:00:00 AM,503.5,15.66,,,,,
24,10/11/22 09:30:00 AM,503.5,15.65,,,,,
25,10/11/22 10:00:00 AM,503.9,15.63,,,,,
26,10/11/22 10:30:00 AM,503.5,15.62,,,,,
27,10/11/22 11:00:00 AM,503.1,15.61,,,,,
28,10/11/22 11:30:00 AM,503.1,15.61,,,,,
29,10/11/22 12:00:00 PM,503.5,15.61,,,,,
30,10/11/22 12:30:00 PM,503.5,15.63,,,,,
31,10/11/22 01:00:00 PM,503.1,15.61,,,,,
32,10/11/22 01:30:00 PM,503.9,15.69,,,,,
33,10/11/22 02:00:00 PM,504.3,15.70,,,,,
34,10/11/22 02:30:00 PM,503.9,15.71,,,,,
35,10/11/22 03:00:00 PM,504.7,15.69,,,,,
36,10/11/22 03:30:00 PM,503.9,15.69,,,,,
37,10/11/22 04:00:00 PM,504.3,15.69,,,,,
38,10/11/22 04:30:00 PM,503.9,15.70,,,,,
39,10/11/22 05:00:00 PM,503.9,15.69,,,,,
40,10/11/22 05:30:00 PM,503.9,15.69,,,,,
41,10/11/22 06:00:00 PM,504.3,15.70,,,,,
42,10/11/22 06:30:00 PM,504.3,15.71,,,,,
43,10/11/22 07:00:00 PM,503.9,15.71,,,,,
44,10/11/22 07:30:00 PM,503.9,15.71,,,,,
45,10/11/22 08:00:00 PM,503.9,15.72,,,,,
46,10/11/22 08:30:00 PM,503.4,15.72,,,,,
47,10/11/22 09:00:00 PM,503.9,15.72,,,,,
48,10/11/22 09:30:00 PM,503.4,15.72,,,,,
49,10/11/22 10:00:00 PM,503.9,15.71,,,,,
50,10/11/22 10:30:00 PM,503.9,15.71,,,,,
51,10/11/22 11:00:00 PM,504.3,15.72,,,,,
52,10/11/22 11:30:00 PM,504.3,15.76,,,,,
53,10/12/22 12:00:00 AM,504.7,15.75,,,,,
54,10/12/22 12:30:00 AM,505.1,15.76,,,,,
55,10/12/22 01:00:00 AM,505.6,15.70,,,,,
56,10/12/22 01:30:00 AM,504.3,15.75,,,,,
57,10/12/22 02:00:00 AM,504.3,15.72,,,,,
58,10/12/22 02:30:00 AM,505.1,15.76,,,,,
59,10/12/22 03:00:00 AM,505.1,15.77,,,,,
60,10/12/22 03:30:00 AM,505.1,15.79,,,,,
61,10/12/22 04:00:00 AM,504.3,15.77,,,,,
62,10/12/22 04:30:00 AM,505.6,15.74,,,,,
63,10/12/22 05:00:00 AM,504.3,15.75,,,,,
64,10/12/22 05:30:00 AM,504.3,15.72,,,,,
65,10/12/22 06:00:00 AM,504.3,15.69,,,,,
66,10/12/22 06:30:00 AM,504.3,15.66,,,,,
67,10/12/22 07:00:00 AM,505.2,15.72,,,,,
68,10/12/22 07:30:00 AM,507.3,15.65,,,,,
69,10/12/22 08:00:00 AM,505.1,15.77,,,,,
70,10/12/22 08:30:00 AM,506.5,15.66,,,,,
71,10/12/22 09:00:00 AM,505.2,15.67,,,,,
72,10/12/22 09:30:00 AM,505.2,15.66,,,,,
73,10/12/22 10:00:00 AM,505.2,15.67,,,,,
74,10/12/22 10:30:00 AM,504.3,15.65,,,,,
75,10/12/22 11:00:00 AM,504.8,15.66,,,,,
76,10/12/22 11:30:00 AM,506.1,15.65,,,,,
77,10/12/22 12:00:00 PM,505.2,15.65,,,,,
78,10/12/22 12:30:00 PM,505.2,15.63,,,,,
79,10/12/22 01:00:00 PM,506.1,15.62,,,,,
80,10/12/22 01:30:00 PM,505.2,15.65,,,,,
81,10/12/22 02:00:00 PM,505.2,15.63,,,,,
82,10/12/22 02:30:00 PM,505.2,15.62,,,,,
83,10/12/22 03:00:00 PM,505.2,15.60,,,,,
84,10/12/22 03:30:00 PM,504.8,15.60,,,,,
85,10/12/22 04:00:00 PM,504.8,15.58,,,,,
86,10/12/22 04:30:00 PM,504.8,15.58,,,,,
87,10/12/22 05:00:00 PM,505.2,15.58,,,,,
88,10/12/22 05:30:00 PM,505.2,15.57,,,,,
89,10/12/22 06:00:00 PM,505.2,15.57,,,,,
90,10/12/22 06:30:00 PM,505.2,15.56,,,,,
91,10/12/22 07:00:00 PM,505.2,15.56,,,,,
92,10/12/22 07:30:00 PM,505.2,15.61,,,,,
93,10/12/22 08:00:00 PM,504.8,15.61,,,,,
94,10/12/22 08:30:00 PM,505.2,15.60,,,,,
95,10/12/22 09:00:00 PM,504.4,15.63,,,,,
96,10/12/22 09:30:00 PM,503.9,15.62,,,,,
97,10/12/22 10:00:00 PM,503.9,15.61,,,,,
98,10/12/22 10:30:00 PM,504.4,15.60,,,,,
99,10/12/22 11:00:00 PM,505.2,15.57,,,,,
100,10/12/22 11:30:00 PM,504.4,15.56,,,,,
101,10/13/22 12:00:00 AM,504.0,15.55,,,,,
102,10/13/22 12:30:00 AM,504.0,15.52,,,,,
103,10/13/22 01:00:00 AM,504.0,15.52,,,,,
104,10/13/22 01:30:00 AM,504.0,15.49,,,,,
105,10/13/22 02:00:00 AM,504.0,15.48,,,,,
106,10/13/22 02:30:00 AM,504.0,15.47,,,,,
107,10/13/22 03:00:00 AM,504.0,15.46,,,,,
108,10/13/22 03:30:00 AM,503.6,15.44,,,,,
109,10/13/22 04:00:00 AM,503.2,15.42,,,,,
110,10/13/22 04:30:00 AM,503.2,15.39,,,,,
111,10/13/22 05:00:00 AM,503.2,15.38,,,,,
112,10/13/22 05:30:00 AM,503.2,15.37,,,,,
113,10/13/22 06:00:00 AM,503.2,15.37,,,,,
114,10/13/22 06:30:00 AM,502.8,15.33,,,,,
115,10/13/22 07:00:00 AM,502.8,15.30,,,,,
116,10/13/22 07:30:00 AM,502.4,15.30,,,,,
117,10/13/22 08:00:00 AM,502.0,15.28,,,,,
118,10/13/22 08:30:00 AM,502.0,15.28,,,,,
119,10/13/22 09:00:00 AM,502.0,15.29,,,,,
120,10/13/22 09:30:00 AM,502.0,15.28,,,,,
121,10/13/22 10:00:00 AM,502.8,15.28,,,,,
122,10/13/22 10:30:00 AM,502.8,15.26,,,,,
123,10/13/22 11:00:00 AM,502.8,15.26,,,,,
124,10/13/22 11:30:00 AM,502.4,15.25,,,,,
125,10/13/22 12:00:00 PM,502.4,15.24,,,,,
126,10/13/22 12:30:00 PM,502.9,15.24,,,,,
127,10/13/22 01:00:00 PM,502.9,15.24,,,,,
128,10/13/22 01:30:00 PM,502.0,15.21,,,,,
129,10/13/22 02:00:00 PM,502.0,15.20,,,,,
130,10/13/22 02:30:00 PM,502.5,15.19,,,,,
131,10/13/22 03:00:00 PM,502.0,15.17,,,,,
132,10/13/22 03:30:00 PM,502.0,15.17,,,,,
133,10/13/22 04:00:00 PM,502.0,15.15,,,,,
134,10/13/22 04:30:00 PM,502.0,15.15,,,,,
135,10/13/22 05:00:00 PM,501.6,15.14,,,,,
