"Plot Title: Pheasant Branch 2 m"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21483250, SEN S/N: 21483250)","Temp, °C (LGR S/N: 21483250, SEN S/N: 21483250)","Coupler Detached (LGR S/N: 21483250)","Coupler Attached (LGR S/N: 21483250)","Host Connected (LGR S/N: 21483250)","End Of File (LGR S/N: 21483250)"
1,10/10/22 10:00:00 PM,445.3,16.57,Logged,,,
2,10/10/22 10:30:00 PM,444.5,16.54,,,,
3,10/10/22 11:00:00 PM,444.1,16.50,,,,
4,10/10/22 11:30:00 PM,444.1,16.49,,,,
5,10/11/22 12:00:00 AM,443.7,16.46,,,,
6,10/11/22 12:30:00 AM,443.3,16.44,,,,
7,10/11/22 01:00:00 AM,443.4,16.41,,,,
8,10/11/22 01:30:00 AM,443.0,16.40,,,,
9,10/11/22 02:00:00 AM,442.6,16.38,,,,
10,10/11/22 02:30:00 AM,442.2,16.34,,,,
11,10/11/22 03:00:00 AM,441.8,16.29,,,,
12,10/11/22 03:30:00 AM,441.1,16.26,,,,
13,10/11/22 04:00:00 AM,440.7,16.21,,,,
14,10/11/22 04:30:00 AM,439.9,16.18,,,,
15,10/11/22 05:00:00 AM,439.9,16.16,,,,
16,10/11/22 05:30:00 AM,439.5,16.13,,,,
17,10/11/22 06:00:00 AM,439.2,16.11,,,,
18,10/11/22 06:30:00 AM,439.2,16.11,,,,
19,10/11/22 07:00:00 AM,439.2,16.10,,,,
20,10/11/22 07:30:00 AM,439.2,16.07,,,,
21,10/11/22 08:00:00 AM,439.2,16.08,,,,
22,10/11/22 08:30:00 AM,439.2,16.08,,,,
23,10/11/22 09:00:00 AM,439.2,16.08,,,,
24,10/11/22 09:30:00 AM,439.1,16.12,,,,
25,10/11/22 10:00:00 AM,439.5,16.15,,,,
26,10/11/22 10:30:00 AM,439.9,16.21,,,,
27,10/11/22 11:00:00 AM,440.3,16.22,,,,
28,10/11/22 11:30:00 AM,439.9,16.21,,,,
29,10/11/22 12:00:00 PM,440.3,16.24,,,,
30,10/11/22 12:30:00 PM,441.4,16.29,,,,
31,10/11/22 01:00:00 PM,441.8,16.34,,,,
32,10/11/22 01:30:00 PM,441.5,16.25,,,,
33,10/11/22 02:00:00 PM,441.1,16.16,,,,
34,10/11/22 02:30:00 PM,440.4,16.06,,,,
35,10/11/22 03:00:00 PM,440.4,16.03,,,,
36,10/11/22 03:30:00 PM,440.4,16.03,,,,
37,10/11/22 04:00:00 PM,440.4,15.99,,,,
38,10/11/22 04:30:00 PM,440.8,15.98,,,,
39,10/11/22 05:00:00 PM,441.2,15.96,,,,
40,10/11/22 05:30:00 PM,440.4,15.94,,,,
41,10/11/22 06:00:00 PM,440.4,15.94,,,,
42,10/11/22 06:30:00 PM,440.4,15.94,,,,
43,10/11/22 07:00:00 PM,440.0,15.93,,,,
44,10/11/22 07:30:00 PM,440.4,15.90,,,,
45,10/11/22 08:00:00 PM,440.4,15.89,,,,
46,10/11/22 08:30:00 PM,440.1,15.88,,,,
47,10/11/22 09:00:00 PM,440.4,15.88,,,,
48,10/11/22 09:30:00 PM,440.4,15.88,,,,
49,10/11/22 10:00:00 PM,440.1,15.87,,,,
50,10/11/22 10:30:00 PM,440.5,15.85,,,,
51,10/11/22 11:00:00 PM,440.5,15.85,,,,
52,10/11/22 11:30:00 PM,440.1,15.85,,,,
53,10/12/22 12:00:00 AM,439.6,15.92,,,,
54,10/12/22 12:30:00 AM,440.0,15.96,,,,
55,10/12/22 01:00:00 AM,440.0,15.92,,,,
56,10/12/22 01:30:00 AM,440.0,15.92,,,,
57,10/12/22 02:00:00 AM,440.0,15.90,,,,
58,10/12/22 02:30:00 AM,439.7,15.89,,,,
59,10/12/22 03:00:00 AM,440.0,15.92,,,,
60,10/12/22 03:30:00 AM,440.0,15.90,,,,
61,10/12/22 04:00:00 AM,440.0,15.89,,,,
62,10/12/22 04:30:00 AM,440.5,15.84,,,,
63,10/12/22 05:00:00 AM,440.5,15.84,,,,
64,10/12/22 05:30:00 AM,440.1,15.83,,,,
65,10/12/22 06:00:00 AM,440.1,15.84,,,,
66,10/12/22 06:30:00 AM,440.1,15.84,,,,
67,10/12/22 07:00:00 AM,440.1,15.83,,,,
68,10/12/22 07:30:00 AM,440.1,15.84,,,,
69,10/12/22 08:00:00 AM,440.1,15.84,,,,
70,10/12/22 08:30:00 AM,440.1,15.88,,,,
71,10/12/22 09:00:00 AM,440.1,15.87,,,,
72,10/12/22 09:30:00 AM,440.5,15.85,,,,
73,10/12/22 10:00:00 AM,440.5,15.83,,,,
74,10/12/22 10:30:00 AM,439.3,15.80,,,,
75,10/12/22 11:00:00 AM,439.3,15.76,,,,
76,10/12/22 11:30:00 AM,439.3,15.76,,,,
77,10/12/22 12:00:00 PM,439.3,15.75,,,,
78,10/12/22 12:30:00 PM,439.3,15.75,,,,
79,10/12/22 01:00:00 PM,439.3,15.78,,,,
80,10/12/22 01:30:00 PM,439.7,15.80,,,,
81,10/12/22 02:00:00 PM,440.5,15.82,,,,
82,10/12/22 02:30:00 PM,440.5,15.87,,,,
83,10/12/22 03:00:00 PM,440.4,15.88,,,,
84,10/12/22 03:30:00 PM,440.8,15.88,,,,
85,10/12/22 04:00:00 PM,440.8,15.87,,,,
86,10/12/22 04:30:00 PM,440.5,15.83,,,,
87,10/12/22 05:00:00 PM,440.1,15.82,,,,
88,10/12/22 05:30:00 PM,439.7,15.79,,,,
89,10/12/22 06:00:00 PM,439.7,15.76,,,,
90,10/12/22 06:30:00 PM,439.3,15.74,,,,
91,10/12/22 07:00:00 PM,439.3,15.70,,,,
92,10/12/22 07:30:00 PM,439.4,15.68,,,,
93,10/12/22 08:00:00 PM,439.0,15.64,,,,
94,10/12/22 08:30:00 PM,439.4,15.64,,,,
95,10/12/22 09:00:00 PM,439.0,15.59,,,,
96,10/12/22 09:30:00 PM,439.0,15.57,,,,
97,10/12/22 10:00:00 PM,439.0,15.55,,,,
98,10/12/22 10:30:00 PM,438.6,15.52,,,,
99,10/12/22 11:00:00 PM,438.6,15.50,,,,
100,10/12/22 11:30:00 PM,438.7,15.48,,,,
101,10/13/22 12:00:00 AM,438.3,15.45,,,,
102,10/13/22 12:30:00 AM,438.3,15.46,,,,
103,10/13/22 01:00:00 AM,437.9,15.41,,,,
104,10/13/22 01:30:00 AM,437.5,15.40,,,,
105,10/13/22 02:00:00 AM,438.3,15.41,,,,
106,10/13/22 02:30:00 AM,437.5,15.36,,,,
107,10/13/22 03:00:00 AM,437.1,15.33,,,,
108,10/13/22 03:30:00 AM,437.1,15.33,,,,
109,10/13/22 04:00:00 AM,436.8,15.32,,,,
110,10/13/22 04:30:00 AM,436.8,15.32,,,,
111,10/13/22 05:00:00 AM,441.1,15.29,,,,
112,10/13/22 05:30:00 AM,439.5,15.27,,,,
113,10/13/22 06:00:00 AM,436.8,15.24,,,,
114,10/13/22 06:30:00 AM,436.8,15.24,,,,
115,10/13/22 07:00:00 AM,436.8,15.26,,,,
116,10/13/22 07:30:00 AM,437.2,15.24,,,,
117,10/13/22 08:00:00 AM,436.8,15.22,,,,
118,10/13/22 08:30:00 AM,435.2,15.17,,,,
119,10/13/22 09:00:00 AM,435.6,15.23,,,,
120,10/13/22 09:30:00 AM,437.2,15.26,,,,
121,10/13/22 10:00:00 AM,436.8,15.29,,,,
122,10/13/22 10:30:00 AM,435.6,15.22,,,,
123,10/13/22 11:00:00 AM,436.4,15.23,,,,
124,10/13/22 11:30:00 AM,436.0,15.24,,,,
125,10/13/22 12:00:00 PM,436.4,15.31,,,,
126,10/13/22 12:30:00 PM,435.6,15.26,,,,
127,10/13/22 01:00:00 PM,436.0,15.22,,,,
128,10/13/22 01:30:00 PM,436.0,15.19,,,,
129,10/13/22 02:00:00 PM,435.2,15.18,,,,
130,10/13/22 02:30:00 PM,435.3,15.14,,,,
131,10/13/22 03:00:00 PM,435.3,15.12,,,,
132,10/13/22 03:30:00 PM,435.2,15.15,,,,
133,10/13/22 04:00:00 PM,434.9,15.13,,,,
134,10/13/22 04:30:00 PM,434.9,15.09,,,,
135,10/13/22 05:00:00 PM,434.5,15.08,,,,
136,10/13/22 05:30:00 PM,434.5,15.04,,,,
137,10/13/22 06:00:00 PM,434.5,15.05,,,,
138,10/13/22 06:30:00 PM,434.5,15.03,,,,
139,10/13/22 07:00:00 PM,434.5,15.01,,,,
140,10/13/22 07:30:00 PM,434.5,15.01,,,,
141,10/13/22 08:00:00 PM,434.5,15.01,,,,
142,10/13/22 08:30:00 PM,434.5,14.99,,,,
143,10/13/22 09:00:00 PM,434.5,14.98,,,,
144,10/13/22 09:30:00 PM,434.5,14.95,,,,
145,10/13/22 10:00:00 PM,434.2,14.92,,,,
146,10/13/22 10:30:00 PM,434.6,14.94,,,,
147,10/13/22 11:00:00 PM,434.6,14.90,,,,
148,10/13/22 11:30:00 PM,434.6,14.90,,,,
149,10/14/22 12:00:00 AM,434.6,14.86,,,,
150,10/14/22 12:30:00 AM,434.2,14.86,,,,
151,10/14/22 01:00:00 AM,434.6,14.84,,,,
152,10/14/22 01:30:00 AM,434.2,14.81,,,,
153,10/14/22 02:00:00 AM,434.2,14.82,,,,
154,10/14/22 02:30:00 AM,434.2,14.80,,,,
155,10/14/22 03:00:00 AM,433.1,14.76,,,,
156,10/14/22 03:30:00 AM,433.1,14.76,,,,
157,10/14/22 04:00:00 AM,433.1,14.76,,,,
158,10/14/22 04:30:00 AM,433.1,14.75,,,,
159,10/14/22 05:00:00 AM,433.1,14.75,,,,
160,10/14/22 05:30:00 AM,433.5,14.71,,,,
161,10/14/22 06:00:00 AM,433.5,14.71,,,,
162,10/14/22 06:30:00 AM,433.5,14.69,,,,
163,10/14/22 07:00:00 AM,433.1,14.66,,,,
164,10/14/22 07:30:00 AM,433.1,14.67,,,,
165,10/14/22 08:00:00 AM,433.1,14.64,,,,
166,10/14/22 08:30:00 AM,433.1,14.63,,,,
167,10/14/22 09:00:00 AM,433.5,14.69,,,,
168,10/14/22 09:30:00 AM,433.1,14.64,,,,
169,10/14/22 10:00:00 AM,433.1,14.64,,,,
170,10/14/22 10:30:00 AM,433.1,14.67,,,,
