"Plot Title: Pheasant Branch 10 m"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21483260, SEN S/N: 21483260)","Temp, °C (LGR S/N: 21483260, SEN S/N: 21483260)","Coupler Detached (LGR S/N: 21483260)","Coupler Attached (LGR S/N: 21483260)","Host Connected (LGR S/N: 21483260)","Stopped (LGR S/N: 21483260)","End Of File (LGR S/N: 21483260)"
1,10/10/22 10:00:00 PM,438.9,15.58,Logged,,,,
2,10/10/22 10:30:00 PM,438.5,15.59,,,,,
3,10/10/22 11:00:00 PM,438.5,15.61,,,,,
4,10/10/22 11:30:00 PM,438.9,15.59,,,,,
5,10/11/22 12:00:00 AM,438.5,15.61,,,,,
6,10/11/22 12:30:00 AM,438.5,15.59,,,,,
7,10/11/22 01:00:00 AM,438.5,15.61,,,,,
8,10/11/22 01:30:00 AM,438.1,15.59,,,,,
9,10/11/22 02:00:00 AM,437.7,15.57,,,,,
10,10/11/22 02:30:00 AM,437.7,15.56,,,,,
11,10/11/22 03:00:00 AM,438.1,15.54,,,,,
12,10/11/22 03:30:00 AM,437.7,15.54,,,,,
13,10/11/22 04:00:00 AM,438.5,15.54,,,,,
14,10/11/22 04:30:00 AM,438.1,15.54,,,,,
15,10/11/22 05:00:00 AM,438.6,15.53,,,,,
16,10/11/22 05:30:00 AM,438.5,15.54,,,,,
17,10/11/22 06:00:00 AM,437.7,15.57,,,,,
18,10/11/22 06:30:00 AM,437.7,15.54,,,,,
19,10/11/22 07:00:00 AM,438.1,15.57,,,,,
20,10/11/22 07:30:00 AM,438.1,15.56,,,,,
21,10/11/22 08:00:00 AM,437.7,15.56,,,,,
22,10/11/22 08:30:00 AM,438.5,15.56,,,,,
23,10/11/22 09:00:00 AM,438.5,15.56,,,,,
24,10/11/22 09:30:00 AM,438.1,15.52,,,,,
25,10/11/22 10:00:00 AM,438.2,15.51,,,,,
26,10/11/22 10:30:00 AM,438.2,15.51,,,,,
27,10/11/22 11:00:00 AM,438.2,15.51,,,,,
28,10/11/22 11:30:00 AM,438.6,15.52,,,,,
29,10/11/22 12:00:00 PM,439.0,15.53,,,,,
30,10/11/22 12:30:00 PM,438.9,15.56,,,,,
31,10/11/22 01:00:00 PM,438.1,15.56,,,,,
32,10/11/22 01:30:00 PM,439.0,15.54,,,,,
33,10/11/22 02:00:00 PM,439.4,15.57,,,,,
34,10/11/22 02:30:00 PM,439.0,15.52,,,,,
35,10/11/22 03:00:00 PM,438.6,15.51,,,,,
36,10/11/22 03:30:00 PM,438.1,15.58,,,,,
37,10/11/22 04:00:00 PM,442.0,15.24,,,,,
38,10/11/22 04:30:00 PM,439.7,15.75,,,,,
39,10/11/22 05:00:00 PM,441.0,15.56,,,,,
40,10/11/22 05:30:00 PM,441.4,15.47,,,,,
41,10/11/22 06:00:00 PM,441.0,15.46,,,,,
42,10/11/22 06:30:00 PM,440.6,15.51,,,,,
43,10/11/22 07:00:00 PM,439.8,15.48,,,,,
44,10/11/22 07:30:00 PM,440.1,15.63,,,,,
45,10/11/22 08:00:00 PM,440.9,15.71,,,,,
46,10/11/22 08:30:00 PM,440.5,15.70,,,,,
47,10/11/22 09:00:00 PM,440.1,15.71,,,,,
48,10/11/22 09:30:00 PM,439.7,15.66,,,,,
49,10/11/22 10:00:00 PM,440.5,15.71,,,,,
50,10/11/22 10:30:00 PM,440.9,15.73,,,,,
51,10/11/22 11:00:00 PM,440.9,15.73,,,,,
52,10/11/22 11:30:00 PM,440.9,15.73,,,,,
53,10/12/22 12:00:00 AM,440.9,15.72,,,,,
54,10/12/22 12:30:00 AM,440.6,15.62,,,,,
55,10/12/22 01:00:00 AM,441.4,15.61,,,,,
56,10/12/22 01:30:00 AM,441.0,15.56,,,,,
57,10/12/22 02:00:00 AM,441.0,15.62,,,,,
58,10/12/22 02:30:00 AM,441.0,15.63,,,,,
59,10/12/22 03:00:00 AM,442.2,15.51,,,,,
60,10/12/22 03:30:00 AM,441.4,15.59,,,,,
61,10/12/22 04:00:00 AM,441.8,15.62,,,,,
62,10/12/22 04:30:00 AM,441.8,15.58,,,,,
63,10/12/22 05:00:00 AM,441.8,15.61,,,,,
64,10/12/22 05:30:00 AM,441.8,15.59,,,,,
65,10/12/22 06:00:00 AM,441.0,15.63,,,,,
66,10/12/22 06:30:00 AM,441.4,15.57,,,,,
67,10/12/22 07:00:00 AM,441.8,15.49,,,,,
68,10/12/22 07:30:00 AM,443.6,15.33,,,,,
69,10/12/22 08:00:00 AM,441.4,15.57,,,,,
70,10/12/22 08:30:00 AM,441.0,15.58,,,,,
71,10/12/22 09:00:00 AM,441.0,15.54,,,,,
72,10/12/22 09:30:00 AM,441.0,15.57,,,,,
73,10/12/22 10:00:00 AM,441.0,15.57,,,,,
74,10/12/22 10:30:00 AM,441.0,15.57,,,,,
75,10/12/22 11:00:00 AM,441.0,15.54,,,,,
76,10/12/22 11:30:00 AM,441.0,15.47,,,,,
77,10/12/22 12:00:00 PM,440.6,15.58,,,,,
78,10/12/22 12:30:00 PM,440.6,15.56,,,,,
79,10/12/22 01:00:00 PM,440.6,15.52,,,,,
80,10/12/22 01:30:00 PM,440.6,15.52,,,,,
81,10/12/22 02:00:00 PM,440.6,15.51,,,,,
82,10/12/22 02:30:00 PM,440.6,15.51,,,,,
83,10/12/22 03:00:00 PM,441.0,15.49,,,,,
84,10/12/22 03:30:00 PM,440.2,15.51,,,,,
85,10/12/22 04:00:00 PM,440.6,15.51,,,,,
86,10/12/22 04:30:00 PM,441.0,15.47,,,,,
87,10/12/22 05:00:00 PM,441.0,15.44,,,,,
88,10/12/22 05:30:00 PM,440.6,15.48,,,,,
89,10/12/22 06:00:00 PM,441.0,15.46,,,,,
90,10/12/22 06:30:00 PM,440.6,15.51,,,,,
91,10/12/22 07:00:00 PM,441.5,15.43,,,,,
92,10/12/22 07:30:00 PM,440.6,15.49,,,,,
93,10/12/22 08:00:00 PM,439.5,15.35,,,,,
94,10/12/22 08:30:00 PM,448.0,14.48,,,,,
95,10/12/22 09:00:00 PM,447.6,14.55,,,,,
96,10/12/22 09:30:00 PM,449.4,14.17,,,,,
97,10/12/22 10:00:00 PM,446.8,14.42,,,,,
98,10/12/22 10:30:00 PM,449.8,14.17,,,,,
99,10/12/22 11:00:00 PM,448.0,14.52,,,,,
100,10/12/22 11:30:00 PM,447.2,14.58,,,,,
101,10/13/22 12:00:00 AM,446.7,14.67,,,,,
102,10/13/22 12:30:00 AM,445.8,14.81,,,,,
103,10/13/22 01:00:00 AM,439.1,15.27,,,,,
104,10/13/22 01:30:00 AM,442.8,15.11,,,,,
105,10/13/22 02:00:00 AM,441.2,15.16,,,,,
106,10/13/22 02:30:00 AM,440.8,15.18,,,,,
107,10/13/22 03:00:00 AM,439.1,15.22,,,,,
108,10/13/22 03:30:00 AM,438.3,15.20,,,,,
109,10/13/22 04:00:00 AM,437.9,15.22,,,,,
110,10/13/22 04:30:00 AM,438.3,15.19,,,,,
111,10/13/22 05:00:00 AM,437.9,15.19,,,,,
112,10/13/22 05:30:00 AM,437.9,15.19,,,,,
113,10/13/22 06:00:00 AM,439.1,15.15,,,,,
114,10/13/22 06:30:00 AM,438.7,15.13,,,,,
115,10/13/22 07:00:00 AM,437.9,15.13,,,,,
116,10/13/22 07:30:00 AM,437.5,15.10,,,,,
117,10/13/22 08:00:00 AM,437.1,15.09,,,,,
118,10/13/22 08:30:00 AM,437.1,15.08,,,,,
119,10/13/22 09:00:00 AM,437.1,15.08,,,,,
120,10/13/22 09:30:00 AM,437.5,15.08,,,,,
121,10/13/22 10:00:00 AM,438.0,15.05,,,,,
122,10/13/22 10:30:00 AM,439.6,15.03,,,,,
123,10/13/22 11:00:00 AM,437.9,15.08,,,,,
124,10/13/22 11:30:00 AM,438.0,15.05,,,,,
125,10/13/22 12:00:00 PM,440.5,14.91,,,,,
126,10/13/22 12:30:00 PM,439.6,14.95,,,,,
127,10/13/22 01:00:00 PM,440.1,14.91,,,,,
128,10/13/22 01:30:00 PM,439.2,14.91,,,,,
