"Plot Title: Kegonsa 2m"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21506943, SEN S/N: 21506943)","Temp, °C (LGR S/N: 21506943, SEN S/N: 21506943)","Coupler Detached (LGR S/N: 21506943)","Coupler Attached (LGR S/N: 21506943)","Host Connected (LGR S/N: 21506943)","Stopped (LGR S/N: 21506943)","End Of File (LGR S/N: 21506943)"
1,08/21/23 02:00:00 PM,597.2,24.87,Logged,,,,
2,08/21/23 02:30:00 PM,597.2,24.90,,,,,
3,08/21/23 03:00:00 PM,597.1,24.92,,,,,
4,08/21/23 03:30:00 PM,600.0,24.83,,,,,
5,08/21/23 04:00:00 PM,600.4,24.90,,,,,
6,08/21/23 04:30:00 PM,599.9,25.05,,,,,
7,08/21/23 05:00:00 PM,600.6,25.16,,,,,
8,08/21/23 05:30:00 PM,599.5,25.10,,,,,
9,08/21/23 06:00:00 PM,600.6,25.14,,,,,
10,08/21/23 06:30:00 PM,600.7,25.09,,,,,
11,08/21/23 07:00:00 PM,601.1,25.09,,,,,
12,08/21/23 07:30:00 PM,600.7,25.01,,,,,
13,08/21/23 08:00:00 PM,602.3,25.04,,,,,
14,08/21/23 08:30:00 PM,603.1,25.10,,,,,
15,08/21/23 09:00:00 PM,602.9,25.34,,,,,
16,08/21/23 09:30:00 PM,602.1,25.34,,,,,
17,08/21/23 10:00:00 PM,600.6,25.28,,,,,
18,08/21/23 10:30:00 PM,600.2,25.22,,,,,
19,08/21/23 11:00:00 PM,599.8,25.15,,,,,
20,08/21/23 11:30:00 PM,599.5,25.09,,,,,
21,08/22/23 12:00:00 AM,599.1,25.04,,,,,
22,08/22/23 12:30:00 AM,598.7,25.00,,,,,
23,08/22/23 01:00:00 AM,598.7,24.96,,,,,
24,08/22/23 01:30:00 AM,598.8,24.93,,,,,
25,08/22/23 02:00:00 AM,598.8,24.92,,,,,
26,08/22/23 02:30:00 AM,599.6,24.95,,,,,
27,08/22/23 03:00:00 AM,599.9,25.00,,,,,
28,08/22/23 03:30:00 AM,599.1,25.05,,,,,
29,08/22/23 04:00:00 AM,599.1,25.07,,,,,
30,08/22/23 04:30:00 AM,596.6,25.10,,,,,
31,08/22/23 05:00:00 AM,597.0,25.09,,,,,
32,08/22/23 05:30:00 AM,595.4,25.09,,,,,
33,08/22/23 06:00:00 AM,594.6,25.06,,,,,
34,08/22/23 06:30:00 AM,594.7,25.02,,,,,
35,08/22/23 07:00:00 AM,594.6,25.04,,,,,
36,08/22/23 07:30:00 AM,595.0,25.06,,,,,
37,08/22/23 08:00:00 AM,595.5,24.99,,,,,
38,08/22/23 08:30:00 AM,597.2,24.88,,,,,
39,08/22/23 09:00:00 AM,600.9,24.79,,,,,
40,08/22/23 09:30:00 AM,600.2,24.62,,,,,
41,08/22/23 10:00:00 AM,598.5,24.77,,,,,
42,08/22/23 10:30:00 AM,600.0,24.93,,,,,
43,08/22/23 11:00:00 AM,599.5,24.99,,,,,
44,08/22/23 11:30:00 AM,599.2,24.83,,,,,
45,08/22/23 12:00:00 PM,599.0,24.56,,,,,
46,08/22/23 12:30:00 PM,599.3,24.73,,,,,
47,08/22/23 01:00:00 PM,598.3,25.01,,,,,
48,08/22/23 01:30:00 PM,604.1,25.46,,,,,
49,08/22/23 02:00:00 PM,602.6,25.81,,,,,
50,08/22/23 02:30:00 PM,603.4,25.85,,,,,
51,08/22/23 03:00:00 PM,604.2,25.95,,,,,
52,08/22/23 03:30:00 PM,605.0,25.94,,,,,
53,08/22/23 04:00:00 PM,605.4,25.98,,,,,
54,08/22/23 04:30:00 PM,605.4,25.92,,,,,
55,08/22/23 05:00:00 PM,605.4,25.95,,,,,
56,08/22/23 05:30:00 PM,605.0,25.95,,,,,
57,08/22/23 06:00:00 PM,605.3,25.99,,,,,
58,08/22/23 06:30:00 PM,605.3,26.03,,,,,
59,08/22/23 07:00:00 PM,604.5,26.03,,,,,
60,08/22/23 07:30:00 PM,604.5,26.06,,,,,
61,08/22/23 08:00:00 PM,604.5,26.07,,,,,
62,08/22/23 08:30:00 PM,605.3,26.11,,,,,
63,08/22/23 09:00:00 PM,605.2,26.18,,,,,
64,08/22/23 09:30:00 PM,606.7,26.39,,,,,
65,08/22/23 10:00:00 PM,605.9,26.35,,,,,
66,08/22/23 10:30:00 PM,606.3,26.44,,,,,
67,08/22/23 11:00:00 PM,606.3,26.46,,,,,
68,08/22/23 11:30:00 PM,606.2,26.50,,,,,
69,08/23/23 12:00:00 AM,606.3,26.44,,,,,
70,08/23/23 12:30:00 AM,605.9,26.41,,,,,
71,08/23/23 01:00:00 AM,604.4,26.27,,,,,
72,08/23/23 01:30:00 AM,603.4,25.89,,,,,
73,08/23/23 02:00:00 AM,603.6,26.20,,,,,
74,08/23/23 02:30:00 AM,604.4,26.21,,,,,
75,08/23/23 03:00:00 AM,603.6,26.16,,,,,
76,08/23/23 03:30:00 AM,602.8,26.12,,,,,
77,08/23/23 04:00:00 AM,602.4,26.11,,,,,
78,08/23/23 04:30:00 AM,603.3,26.11,,,,,
79,08/23/23 05:00:00 AM,603.2,26.13,,,,,
80,08/23/23 05:30:00 AM,602.8,26.11,,,,,
81,08/23/23 06:00:00 AM,602.4,26.12,,,,,
82,08/23/23 06:30:00 AM,603.2,26.15,,,,,
83,08/23/23 07:00:00 AM,603.6,26.13,,,,,
84,08/23/23 07:30:00 AM,603.2,26.13,,,,,
85,08/23/23 08:00:00 AM,602.0,26.13,,,,,
86,08/23/23 08:30:00 AM,602.4,26.24,,,,,
87,08/23/23 09:00:00 AM,603.9,26.29,,,,,
88,08/23/23 09:30:00 AM,605.5,26.35,,,,,
89,08/23/23 10:00:00 AM,605.5,26.34,,,,,
90,08/23/23 10:30:00 AM,605.9,26.35,,,,,
91,08/23/23 11:00:00 AM,605.9,26.45,,,,,
92,08/23/23 11:30:00 AM,607.4,26.63,,,,,
93,08/23/23 12:00:00 PM,609.7,26.76,,,,,
94,08/23/23 12:30:00 PM,611.2,26.90,,,,,
95,08/23/23 01:00:00 PM,611.2,26.87,,,,,
96,08/23/23 01:30:00 PM,612.7,27.04,,,,,
97,08/23/23 02:00:00 PM,613.9,27.08,,,,,
98,08/23/23 02:30:00 PM,614.3,27.13,,,,,
99,08/23/23 03:00:00 PM,615.1,27.19,,,,,
100,08/23/23 03:30:00 PM,615.9,27.19,,,,,
101,08/23/23 04:00:00 PM,616.3,27.19,,,,,
102,08/23/23 04:30:00 PM,616.3,27.18,,,,,
103,08/23/23 05:00:00 PM,615.9,27.14,,,,,
104,08/23/23 05:30:00 PM,615.9,27.17,,,,,
105,08/23/23 06:00:00 PM,615.9,27.17,,,,,
106,08/23/23 06:30:00 PM,616.3,27.17,,,,,
107,08/23/23 07:00:00 PM,615.9,27.15,,,,,
108,08/23/23 07:30:00 PM,616.3,27.14,,,,,
109,08/23/23 08:00:00 PM,616.3,27.15,,,,,
110,08/23/23 08:30:00 PM,615.9,27.18,,,,,
111,08/23/23 09:00:00 PM,616.3,27.14,,,,,
112,08/23/23 09:30:00 PM,616.3,27.15,,,,,
113,08/23/23 10:00:00 PM,616.3,27.13,,,,,
114,08/23/23 10:30:00 PM,616.3,27.14,,,,,
115,08/23/23 11:00:00 PM,616.3,27.13,,,,,
116,08/23/23 11:30:00 PM,616.3,27.08,,,,,
117,08/24/23 12:00:00 AM,616.3,27.08,,,,,
118,08/24/23 12:30:00 AM,616.0,27.06,,,,,
119,08/24/23 01:00:00 AM,616.0,27.05,,,,,
120,08/24/23 01:30:00 AM,615.6,27.03,,,,,
121,08/24/23 02:00:00 AM,616.0,27.01,,,,,
122,08/24/23 02:30:00 AM,615.6,26.96,,,,,
123,08/24/23 03:00:00 AM,615.6,26.92,,,,,
124,08/24/23 03:30:00 AM,614.9,26.87,,,,,
125,08/24/23 04:00:00 AM,614.9,26.83,,,,,
126,08/24/23 04:30:00 AM,614.5,26.80,,,,,
127,08/24/23 05:00:00 AM,614.5,26.77,,,,,
128,08/24/23 05:30:00 AM,615.3,26.76,,,,,
129,08/24/23 06:00:00 AM,615.0,26.73,,,,,
130,08/24/23 06:30:00 AM,614.6,26.72,,,,,
131,08/24/23 07:00:00 AM,614.6,26.71,,,,,
132,08/24/23 07:30:00 AM,614.6,26.71,,,,,
133,08/24/23 08:00:00 AM,615.0,26.71,,,,,
134,08/24/23 08:30:00 AM,621.2,27.10,,,,,
135,08/24/23 09:00:00 AM,618.0,27.05,,,,,
136,08/24/23 09:30:00 AM,618.0,27.06,,,,,
137,08/24/23 10:00:00 AM,617.6,27.08,,,,,
138,08/24/23 10:30:00 AM,617.5,27.14,,,,,
139,08/24/23 11:00:00 AM,617.5,27.18,,,,,
140,08/24/23 11:30:00 AM,617.9,27.19,,,,,
141,08/24/23 12:00:00 PM,617.6,26.97,,,,,
142,08/24/23 12:30:00 PM,617.5,27.18,,,,,
143,08/24/23 01:00:00 PM,617.8,27.28,,,,,
144,08/24/23 01:30:00 PM,621.7,27.60,,,,,
145,08/24/23 02:00:00 PM,622.4,27.73,,,,,
146,08/24/23 02:30:00 PM,623.5,27.87,,,,,
147,08/24/23 03:00:00 PM,623.9,27.89,,,,,
148,08/24/23 03:30:00 PM,625.1,27.91,,,,,
149,08/24/23 04:00:00 PM,627.1,27.91,,,,,
150,08/24/23 04:30:00 PM,625.9,27.97,,,,,
151,08/24/23 05:00:00 PM,625.8,27.98,,,,,
152,08/24/23 05:30:00 PM,625.9,27.94,,,,,
153,08/24/23 06:00:00 PM,625.9,27.96,,,,,
154,08/24/23 06:30:00 PM,625.9,27.97,,,,,
155,08/24/23 07:00:00 PM,628.6,28.11,,,,,
