"Plot Title: Kegonsa Bottom"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21506923, SEN S/N: 21506923)","Temp, °C (LGR S/N: 21506923, SEN S/N: 21506923)","Coupler Detached (LGR S/N: 21506923)","Coupler Attached (LGR S/N: 21506923)","Host Connected (LGR S/N: 21506923)","Stopped (LGR S/N: 21506923)","End Of File (LGR S/N: 21506923)"
1,08/21/23 02:00:00 PM,596.5,22.85,Logged,,,,
2,08/21/23 02:30:00 PM,596.9,22.85,,,,,
3,08/21/23 03:00:00 PM,597.3,22.87,,,,,
4,08/21/23 03:30:00 PM,597.3,22.85,,,,,
5,08/21/23 04:00:00 PM,597.3,22.83,,,,,
6,08/21/23 04:30:00 PM,597.7,22.82,,,,,
7,08/21/23 05:00:00 PM,597.3,22.81,,,,,
8,08/21/23 05:30:00 PM,597.3,22.81,,,,,
9,08/21/23 06:00:00 PM,597.3,22.82,,,,,
10,08/21/23 06:30:00 PM,597.7,22.82,,,,,
11,08/21/23 07:00:00 PM,597.3,22.82,,,,,
12,08/21/23 07:30:00 PM,597.3,22.81,,,,,
13,08/21/23 08:00:00 PM,597.7,22.82,,,,,
14,08/21/23 08:30:00 PM,596.9,22.83,,,,,
15,08/21/23 09:00:00 PM,597.7,22.82,,,,,
16,08/21/23 09:30:00 PM,598.1,22.82,,,,,
17,08/21/23 10:00:00 PM,598.5,22.81,,,,,
18,08/21/23 10:30:00 PM,598.5,22.82,,,,,
19,08/21/23 11:00:00 PM,597.7,22.83,,,,,
20,08/21/23 11:30:00 PM,598.5,22.83,,,,,
21,08/22/23 12:00:00 AM,598.1,22.85,,,,,
22,08/22/23 12:30:00 AM,598.0,22.87,,,,,
23,08/22/23 01:00:00 AM,598.0,22.87,,,,,
24,08/22/23 01:30:00 AM,598.0,22.89,,,,,
25,08/22/23 02:00:00 AM,597.6,22.89,,,,,
26,08/22/23 02:30:00 AM,598.8,22.91,,,,,
27,08/22/23 03:00:00 AM,598.8,22.93,,,,,
28,08/22/23 03:30:00 AM,598.8,22.87,,,,,
29,08/22/23 04:00:00 AM,599.2,22.87,,,,,
30,08/22/23 04:30:00 AM,598.8,22.89,,,,,
31,08/22/23 05:00:00 AM,598.8,22.87,,,,,
32,08/22/23 05:30:00 AM,598.8,22.86,,,,,
33,08/22/23 06:00:00 AM,600.1,22.79,,,,,
34,08/22/23 06:30:00 AM,600.1,22.78,,,,,
35,08/22/23 07:00:00 AM,599.7,22.81,,,,,
36,08/22/23 07:30:00 AM,600.1,22.79,,,,,
37,08/22/23 08:00:00 AM,600.1,22.79,,,,,
38,08/22/23 08:30:00 AM,601.6,22.79,,,,,
39,08/22/23 09:00:00 AM,600.8,22.82,,,,,
40,08/22/23 09:30:00 AM,600.0,22.86,,,,,
41,08/22/23 10:00:00 AM,598.8,22.86,,,,,
42,08/22/23 10:30:00 AM,592.5,22.85,,,,,
43,08/22/23 11:00:00 AM,600.0,22.86,,,,,
44,08/22/23 11:30:00 AM,599.6,22.86,,,,,
45,08/22/23 12:00:00 PM,607.9,22.81,,,,,
46,08/22/23 12:30:00 PM,600.1,22.81,,,,,
47,08/22/23 01:00:00 PM,600.9,22.78,,,,,
48,08/22/23 01:30:00 PM,600.8,22.81,,,,,
49,08/22/23 02:00:00 PM,600.8,22.83,,,,,
50,08/22/23 02:30:00 PM,601.2,22.85,,,,,
51,08/22/23 03:00:00 PM,602.4,22.83,,,,,
52,08/22/23 03:30:00 PM,603.6,22.85,,,,,
53,08/22/23 04:00:00 PM,602.8,22.87,,,,,
54,08/22/23 04:30:00 PM,602.4,22.89,,,,,
55,08/22/23 05:00:00 PM,602.4,22.89,,,,,
56,08/22/23 05:30:00 PM,601.5,22.94,,,,,
57,08/22/23 06:00:00 PM,601.1,23.01,,,,,
58,08/22/23 06:30:00 PM,601.9,22.93,,,,,
59,08/22/23 07:00:00 PM,601.2,22.94,,,,,
60,08/22/23 07:30:00 PM,601.1,22.97,,,,,
61,08/22/23 08:00:00 PM,601.1,22.95,,,,,
62,08/22/23 08:30:00 PM,601.2,22.94,,,,,
63,08/22/23 09:00:00 PM,601.2,22.90,,,,,
64,08/22/23 09:30:00 PM,601.6,22.87,,,,,
65,08/22/23 10:00:00 PM,601.6,22.89,,,,,
66,08/22/23 10:30:00 PM,601.6,22.90,,,,,
67,08/22/23 11:00:00 PM,601.6,22.90,,,,,
68,08/22/23 11:30:00 PM,601.2,22.90,,,,,
69,08/23/23 12:00:00 AM,601.6,22.91,,,,,
70,08/23/23 12:30:00 AM,602.0,22.90,,,,,
71,08/23/23 01:00:00 AM,602.3,22.93,,,,,
72,08/23/23 01:30:00 AM,602.3,22.93,,,,,
73,08/23/23 02:00:00 AM,602.3,22.94,,,,,
74,08/23/23 02:30:00 AM,602.3,22.97,,,,,
75,08/23/23 03:00:00 AM,602.3,23.01,,,,,
76,08/23/23 03:30:00 AM,602.3,23.02,,,,,
77,08/23/23 04:00:00 AM,601.9,23.02,,,,,
78,08/23/23 04:30:00 AM,602.3,23.01,,,,,
79,08/23/23 05:00:00 AM,601.5,23.02,,,,,
