"Plot Title: Mendota Deephole 10m"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21483258, SEN S/N: 21483258)","Temp, °C (LGR S/N: 21483258, SEN S/N: 21483258)","Coupler Detached (LGR S/N: 21483258)","Coupler Attached (LGR S/N: 21483258)","Host Connected (LGR S/N: 21483258)","End Of File (LGR S/N: 21483258)"
1,06/14/23 11:00:00 AM,416.5,10.45,Logged,,,
2,06/14/23 11:30:00 AM,418.4,10.68,,,,
3,06/14/23 12:00:00 PM,420.4,10.83,,,,
4,06/14/23 12:30:00 PM,422.7,11.07,,,,
5,06/14/23 01:00:00 PM,421.5,10.93,,,,
6,06/14/23 01:30:00 PM,422.3,11.01,,,,
7,06/14/23 02:00:00 PM,423.1,11.10,,,,
8,06/14/23 02:30:00 PM,424.6,11.20,,,,
9,06/14/23 03:00:00 PM,424.3,11.18,,,,
10,06/14/23 03:30:00 PM,423.5,11.13,,,,
11,06/14/23 04:00:00 PM,423.1,11.10,,,,
12,06/14/23 04:30:00 PM,423.1,11.11,,,,
13,06/14/23 05:00:00 PM,423.9,11.16,,,,
14,06/14/23 05:30:00 PM,426.2,11.35,,,,
15,06/14/23 06:00:00 PM,424.3,11.16,,,,
16,06/14/23 06:30:00 PM,425.0,11.24,,,,
17,06/14/23 07:00:00 PM,427.3,11.48,,,,
18,06/14/23 07:30:00 PM,427.0,11.40,,,,
19,06/14/23 08:00:00 PM,428.1,11.52,,,,
20,06/14/23 08:30:00 PM,430.1,11.71,,,,
21,06/14/23 09:00:00 PM,430.8,11.78,,,,
22,06/14/23 09:30:00 PM,431.6,11.87,,,,
23,06/14/23 10:00:00 PM,431.6,11.87,,,,
24,06/14/23 10:30:00 PM,429.3,11.67,,,,
25,06/14/23 11:00:00 PM,430.1,11.70,,,,
26,06/14/23 11:30:00 PM,425.4,11.32,,,,
27,06/15/23 12:00:00 AM,426.2,11.33,,,,
28,06/15/23 12:30:00 AM,425.4,11.26,,,,
29,06/15/23 01:00:00 AM,425.8,11.32,,,,
30,06/15/23 01:30:00 AM,426.2,11.36,,,,
31,06/15/23 02:00:00 AM,427.4,11.45,,,,
32,06/15/23 02:30:00 AM,430.8,11.78,,,,
33,06/15/23 03:00:00 AM,431.6,11.83,,,,
34,06/15/23 03:30:00 AM,430.8,11.79,,,,
35,06/15/23 04:00:00 AM,431.2,11.80,,,,
36,06/15/23 04:30:00 AM,431.6,11.83,,,,
37,06/15/23 05:00:00 AM,431.6,11.88,,,,
38,06/15/23 05:30:00 AM,432.4,11.92,,,,
39,06/15/23 06:00:00 AM,432.7,12.01,,,,
40,06/15/23 06:30:00 AM,432.3,11.97,,,,
41,06/15/23 07:00:00 AM,431.6,11.90,,,,
42,06/15/23 07:30:00 AM,428.5,11.61,,,,
43,06/15/23 08:00:00 AM,429.3,11.68,,,,
44,06/15/23 08:30:00 AM,428.9,11.63,,,,
45,06/15/23 09:00:00 AM,429.7,11.68,,,,
46,06/15/23 09:30:00 AM,429.7,11.68,,,,
47,06/15/23 10:00:00 AM,430.4,11.80,,,,
48,06/15/23 10:30:00 AM,431.6,11.87,,,,
49,06/15/23 11:00:00 AM,433.5,12.02,,,,
50,06/15/23 11:30:00 AM,434.3,12.14,,,,
51,06/15/23 12:00:00 PM,432.7,12.00,,,,
52,06/15/23 12:30:00 PM,430.4,11.78,,,,
53,06/15/23 01:00:00 PM,431.6,11.87,,,,
54,06/15/23 01:30:00 PM,431.6,11.84,,,,
55,06/15/23 02:00:00 PM,429.6,11.72,,,,
56,06/15/23 02:30:00 PM,429.7,11.68,,,,
57,06/15/23 03:00:00 PM,428.5,11.63,,,,
58,06/15/23 03:30:00 PM,429.3,11.67,,,,
59,06/15/23 04:00:00 PM,430.4,11.76,,,,
60,06/15/23 04:30:00 PM,435.1,12.22,,,,
61,06/15/23 05:00:00 PM,438.9,12.55,,,,
62,06/15/23 05:30:00 PM,444.0,12.98,,,,
63,06/15/23 06:00:00 PM,442.0,12.84,,,,
64,06/15/23 06:30:00 PM,441.3,12.74,,,,
65,06/15/23 07:00:00 PM,438.9,12.53,,,,
66,06/15/23 07:30:00 PM,437.0,12.39,,,,
67,06/15/23 08:00:00 PM,433.9,12.06,,,,
68,06/15/23 08:30:00 PM,428.9,11.62,,,,
69,06/15/23 09:00:00 PM,423.9,11.16,,,,
70,06/15/23 09:30:00 PM,419.2,10.71,,,,
71,06/15/23 10:00:00 PM,420.0,10.76,,,,
72,06/15/23 10:30:00 PM,420.0,10.77,,,,
73,06/15/23 11:00:00 PM,419.2,10.74,,,,
74,06/15/23 11:30:00 PM,420.8,10.85,,,,
75,06/16/23 12:00:00 AM,420.8,10.88,,,,
76,06/16/23 12:30:00 AM,422.3,11.02,,,,
77,06/16/23 01:00:00 AM,425.8,11.33,,,,
78,06/16/23 01:30:00 AM,430.1,11.70,,,,
79,06/16/23 02:00:00 AM,432.0,11.90,,,,
80,06/16/23 02:30:00 AM,435.1,12.18,,,,
81,06/16/23 03:00:00 AM,438.2,12.45,,,,
82,06/16/23 03:30:00 AM,439.3,12.55,,,,
83,06/16/23 04:00:00 AM,434.3,12.10,,,,
84,06/16/23 04:30:00 AM,431.6,11.84,,,,
85,06/16/23 05:00:00 AM,429.7,11.68,,,,
86,06/16/23 05:30:00 AM,430.1,11.71,,,,
87,06/16/23 06:00:00 AM,430.8,11.81,,,,
88,06/16/23 06:30:00 AM,432.0,11.92,,,,
89,06/16/23 07:00:00 AM,433.1,12.00,,,,
90,06/16/23 07:30:00 AM,438.9,12.53,,,,
91,06/16/23 08:00:00 AM,439.3,12.55,,,,
92,06/16/23 08:30:00 AM,436.2,12.31,,,,
93,06/16/23 09:00:00 AM,434.7,12.13,,,,
94,06/16/23 09:30:00 AM,434.7,12.11,,,,
95,06/16/23 10:00:00 AM,438.2,12.45,,,,
96,06/16/23 10:30:00 AM,443.6,12.96,,,,
97,06/16/23 11:00:00 AM,444.0,12.97,,,,
98,06/16/23 11:30:00 AM,435.5,12.22,,,,
99,06/16/23 12:00:00 PM,433.9,12.09,,,,
100,06/16/23 12:30:00 PM,432.4,11.94,,,,
101,06/16/23 01:00:00 PM,430.4,11.76,,,,
102,06/16/23 01:30:00 PM,429.3,11.66,,,,
103,06/16/23 02:00:00 PM,429.3,11.59,,,,
104,06/16/23 02:30:00 PM,430.8,11.76,,,,
105,06/16/23 03:00:00 PM,432.8,11.97,,,,
106,06/16/23 03:30:00 PM,434.7,12.13,,,,
107,06/16/23 04:00:00 PM,437.8,12.40,,,,
108,06/16/23 04:30:00 PM,438.6,12.48,,,,
109,06/16/23 05:00:00 PM,440.1,12.63,,,,
110,06/16/23 05:30:00 PM,440.9,12.67,,,,
111,06/16/23 06:00:00 PM,440.9,12.67,,,,
112,06/16/23 06:30:00 PM,432.8,11.96,,,,
113,06/16/23 07:00:00 PM,428.9,11.61,,,,
114,06/16/23 07:30:00 PM,428.1,11.52,,,,
115,06/16/23 08:00:00 PM,426.6,11.39,,,,
116,06/16/23 08:30:00 PM,425.8,11.32,,,,
117,06/16/23 09:00:00 PM,424.2,11.19,,,,
118,06/16/23 09:30:00 PM,425.0,11.23,,,,
119,06/16/23 10:00:00 PM,423.1,11.07,,,,
120,06/16/23 10:30:00 PM,420.8,10.85,,,,
121,06/16/23 11:00:00 PM,420.0,10.77,,,,
122,06/16/23 11:30:00 PM,420.0,10.77,,,,
123,06/17/23 12:00:00 AM,418.4,10.66,,,,
124,06/17/23 12:30:00 AM,427.3,11.46,,,,
125,06/17/23 01:00:00 AM,428.9,11.61,,,,
126,06/17/23 01:30:00 AM,430.8,11.79,,,,
127,06/17/23 02:00:00 AM,431.6,11.81,,,,
128,06/17/23 02:30:00 AM,429.3,11.58,,,,
129,06/17/23 03:00:00 AM,427.4,11.37,,,,
130,06/17/23 03:30:00 AM,430.1,11.66,,,,
131,06/17/23 04:00:00 AM,432.4,11.94,,,,
132,06/17/23 04:30:00 AM,434.7,12.14,,,,
133,06/17/23 05:00:00 AM,437.0,12.32,,,,
134,06/17/23 05:30:00 AM,441.7,12.74,,,,
135,06/17/23 06:00:00 AM,440.9,12.67,,,,
136,06/17/23 06:30:00 AM,439.7,12.55,,,,
137,06/17/23 07:00:00 AM,440.5,12.67,,,,
138,06/17/23 07:30:00 AM,440.9,12.68,,,,
139,06/17/23 08:00:00 AM,435.1,12.19,,,,
140,06/17/23 08:30:00 AM,429.7,11.65,,,,
141,06/17/23 09:00:00 AM,421.6,10.90,,,,
142,06/17/23 09:30:00 AM,420.0,10.76,,,,
143,06/17/23 10:00:00 AM,418.8,10.68,,,,
