"Plot Title: Mendota Deephole Bottom"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21483261, SEN S/N: 21483261)","Temp, °C (LGR S/N: 21483261, SEN S/N: 21483261)","Coupler Detached (LGR S/N: 21483261)","Coupler Attached (LGR S/N: 21483261)","Host Connected (LGR S/N: 21483261)","End Of File (LGR S/N: 21483261)"
1,06/14/23 11:00:00 AM,398.5,8.04,Logged,,,
2,06/14/23 11:30:00 AM,398.5,8.04,,,,
3,06/14/23 12:00:00 PM,398.5,8.04,,,,
4,06/14/23 12:30:00 PM,398.5,8.05,,,,
5,06/14/23 01:00:00 PM,398.9,8.05,,,,
6,06/14/23 01:30:00 PM,398.9,8.06,,,,
7,06/14/23 02:00:00 PM,398.9,8.06,,,,
8,06/14/23 02:30:00 PM,398.9,8.08,,,,
9,06/14/23 03:00:00 PM,398.9,8.08,,,,
10,06/14/23 03:30:00 PM,398.9,8.09,,,,
11,06/14/23 04:00:00 PM,398.9,8.10,,,,
12,06/14/23 04:30:00 PM,398.9,8.10,,,,
13,06/14/23 05:00:00 PM,398.9,8.13,,,,
14,06/14/23 05:30:00 PM,398.9,8.15,,,,
15,06/14/23 06:00:00 PM,399.3,8.17,,,,
16,06/14/23 06:30:00 PM,399.7,8.18,,,,
17,06/14/23 07:00:00 PM,399.3,8.18,,,,
18,06/14/23 07:30:00 PM,399.3,8.17,,,,
19,06/14/23 08:00:00 PM,398.9,8.17,,,,
20,06/14/23 08:30:00 PM,399.7,8.18,,,,
21,06/14/23 09:00:00 PM,399.7,8.22,,,,
22,06/14/23 09:30:00 PM,399.6,8.23,,,,
23,06/14/23 10:00:00 PM,400.1,8.22,,,,
24,06/14/23 10:30:00 PM,400.1,8.19,,,,
25,06/14/23 11:00:00 PM,399.7,8.15,,,,
26,06/14/23 11:30:00 PM,398.9,8.09,,,,
27,06/15/23 12:00:00 AM,398.9,8.10,,,,
28,06/15/23 12:30:00 AM,398.9,8.09,,,,
29,06/15/23 01:00:00 AM,398.9,8.08,,,,
30,06/15/23 01:30:00 AM,398.5,8.08,,,,
31,06/15/23 02:00:00 AM,398.5,8.08,,,,
32,06/15/23 02:30:00 AM,398.5,8.08,,,,
33,06/15/23 03:00:00 AM,398.1,8.06,,,,
34,06/15/23 03:30:00 AM,398.1,8.05,,,,
35,06/15/23 04:00:00 AM,398.1,8.05,,,,
36,06/15/23 04:30:00 AM,398.1,8.05,,,,
37,06/15/23 05:00:00 AM,398.1,8.05,,,,
38,06/15/23 05:30:00 AM,398.1,8.04,,,,
39,06/15/23 06:00:00 AM,398.1,8.04,,,,
40,06/15/23 06:30:00 AM,398.1,8.04,,,,
41,06/15/23 07:00:00 AM,398.1,8.04,,,,
42,06/15/23 07:30:00 AM,398.1,8.04,,,,
43,06/15/23 08:00:00 AM,398.1,8.04,,,,
44,06/15/23 08:30:00 AM,398.1,8.04,,,,
45,06/15/23 09:00:00 AM,398.1,8.04,,,,
46,06/15/23 09:30:00 AM,398.1,8.02,,,,
47,06/15/23 10:00:00 AM,398.1,8.04,,,,
48,06/15/23 10:30:00 AM,398.1,8.02,,,,
49,06/15/23 11:00:00 AM,398.1,8.02,,,,
50,06/15/23 11:30:00 AM,398.1,8.04,,,,
51,06/15/23 12:00:00 PM,398.5,8.04,,,,
52,06/15/23 12:30:00 PM,398.1,8.04,,,,
