"Plot Title: Monona 2 m"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21506931, SEN S/N: 21506931)","Temp, °C (LGR S/N: 21506931, SEN S/N: 21506931)","Coupler Detached (LGR S/N: 21506931)","Coupler Attached (LGR S/N: 21506931)","Host Connected (LGR S/N: 21506931)","Stopped (LGR S/N: 21506931)","End Of File (LGR S/N: 21506931)"
1,08/08/23 05:00:00 PM,625.8,26.28,Logged,,,,
2,08/08/23 05:30:00 PM,626.6,26.30,,,,,
3,08/08/23 06:00:00 PM,626.3,26.28,,,,,
4,08/08/23 06:30:00 PM,626.3,26.27,,,,,
5,08/08/23 07:00:00 PM,625.9,26.24,,,,,
6,08/08/23 07:30:00 PM,625.9,26.23,,,,,
7,08/08/23 08:00:00 PM,625.9,26.20,,,,,
8,08/08/23 08:30:00 PM,625.5,26.19,,,,,
9,08/08/23 09:00:00 PM,625.5,26.18,,,,,
10,08/08/23 09:30:00 PM,625.9,26.17,,,,,
11,08/08/23 10:00:00 PM,625.9,26.15,,,,,
12,08/08/23 10:30:00 PM,625.5,26.13,,,,,
13,08/08/23 11:00:00 PM,625.5,26.12,,,,,
14,08/08/23 11:30:00 PM,624.7,26.09,,,,,
15,08/09/23 12:00:00 AM,624.7,26.08,,,,,
16,08/09/23 12:30:00 AM,624.8,26.05,,,,,
17,08/09/23 01:00:00 AM,624.4,26.04,,,,,
18,08/09/23 01:30:00 AM,624.4,26.01,,,,,
19,08/09/23 02:00:00 AM,624.0,26.00,,,,,
20,08/09/23 02:30:00 AM,624.4,25.99,,,,,
21,08/09/23 03:00:00 AM,623.6,25.96,,,,,
22,08/09/23 03:30:00 AM,623.6,25.95,,,,,
23,08/09/23 04:00:00 AM,623.6,25.90,,,,,
24,08/09/23 04:30:00 AM,623.2,25.90,,,,,
25,08/09/23 05:00:00 AM,623.2,25.86,,,,,
26,08/09/23 05:30:00 AM,622.8,25.86,,,,,
27,08/09/23 06:00:00 AM,622.4,25.85,,,,,
28,08/09/23 06:30:00 AM,622.5,25.83,,,,,
29,08/09/23 07:00:00 AM,622.4,25.84,,,,,
30,08/09/23 07:30:00 AM,622.4,25.84,,,,,
31,08/09/23 08:00:00 AM,622.4,25.85,,,,,
32,08/09/23 08:30:00 AM,622.8,25.89,,,,,
33,08/09/23 09:00:00 AM,622.8,25.86,,,,,
34,08/09/23 09:30:00 AM,622.4,25.85,,,,,
35,08/09/23 10:00:00 AM,622.9,25.84,,,,,
36,08/09/23 10:30:00 AM,622.9,25.83,,,,,
37,08/09/23 11:00:00 AM,622.4,25.84,,,,,
38,08/09/23 11:30:00 AM,622.4,25.84,,,,,
39,08/09/23 12:00:00 PM,622.4,25.84,,,,,
40,08/09/23 12:30:00 PM,622.4,25.84,,,,,
41,08/09/23 01:00:00 PM,622.4,25.85,,,,,
42,08/09/23 01:30:00 PM,622.4,25.85,,,,,
43,08/09/23 02:00:00 PM,623.6,25.95,,,,,
44,08/09/23 02:30:00 PM,624.8,26.07,,,,,
45,08/09/23 03:00:00 PM,624.8,26.05,,,,,
46,08/09/23 03:30:00 PM,624.4,26.05,,,,,
47,08/09/23 04:00:00 PM,624.0,26.01,,,,,
48,08/09/23 04:30:00 PM,624.7,26.08,,,,,
49,08/09/23 05:00:00 PM,624.8,26.04,,,,,
50,08/09/23 05:30:00 PM,624.7,26.09,,,,,
51,08/09/23 06:00:00 PM,624.8,26.05,,,,,
52,08/09/23 06:30:00 PM,624.0,26.01,,,,,
53,08/09/23 07:00:00 PM,624.0,25.99,,,,,
54,08/09/23 07:30:00 PM,623.6,25.95,,,,,
55,08/09/23 08:00:00 PM,623.6,25.95,,,,,
56,08/09/23 08:30:00 PM,623.2,25.91,,,,,
57,08/09/23 09:00:00 PM,622.8,25.89,,,,,
58,08/09/23 09:30:00 PM,622.8,25.89,,,,,
59,08/09/23 10:00:00 PM,622.4,25.86,,,,,
60,08/09/23 10:30:00 PM,622.4,25.84,,,,,
61,08/09/23 11:00:00 PM,622.5,25.83,,,,,
62,08/09/23 11:30:00 PM,622.5,25.81,,,,,
63,08/10/23 12:00:00 AM,622.1,25.79,,,,,
64,08/10/23 12:30:00 AM,622.1,25.76,,,,,
65,08/10/23 01:00:00 AM,621.7,25.72,,,,,
66,08/10/23 01:30:00 AM,621.3,25.71,,,,,
67,08/10/23 02:00:00 AM,620.9,25.69,,,,,
68,08/10/23 02:30:00 AM,620.5,25.69,,,,,
69,08/10/23 03:00:00 AM,620.9,25.66,,,,,
70,08/10/23 03:30:00 AM,620.1,25.62,,,,,
71,08/10/23 04:00:00 AM,620.5,25.62,,,,,
72,08/10/23 04:30:00 AM,619.7,25.60,,,,,
73,08/10/23 05:00:00 AM,619.3,25.56,,,,,
74,08/10/23 05:30:00 AM,619.0,25.52,,,,,
75,08/10/23 06:00:00 AM,618.6,25.49,,,,,
76,08/10/23 06:30:00 AM,618.2,25.47,,,,,
77,08/10/23 07:00:00 AM,618.2,25.43,,,,,
78,08/10/23 07:30:00 AM,617.4,25.42,,,,,
79,08/10/23 08:00:00 AM,617.4,25.43,,,,,
80,08/10/23 08:30:00 AM,618.2,25.49,,,,,
81,08/10/23 09:00:00 AM,617.4,25.46,,,,,
82,08/10/23 09:30:00 AM,618.2,25.49,,,,,
83,08/10/23 10:00:00 AM,618.5,25.52,,,,,
84,08/10/23 10:30:00 AM,618.9,25.55,,,,,
85,08/10/23 11:00:00 AM,618.9,25.56,,,,,
86,08/10/23 11:30:00 AM,620.5,25.65,,,,,
87,08/10/23 12:00:00 PM,620.5,25.67,,,,,
88,08/10/23 12:30:00 PM,620.9,25.71,,,,,
89,08/10/23 01:00:00 PM,621.7,25.76,,,,,
90,08/10/23 01:30:00 PM,621.7,25.78,,,,,
91,08/10/23 02:00:00 PM,621.7,25.75,,,,,
92,08/10/23 02:30:00 PM,621.7,25.75,,,,,
93,08/10/23 03:00:00 PM,621.7,25.76,,,,,
94,08/10/23 03:30:00 PM,621.7,25.76,,,,,
95,08/10/23 04:00:00 PM,622.5,25.83,,,,,
96,08/10/23 04:30:00 PM,622.8,25.88,,,,,
97,08/10/23 05:00:00 PM,624.4,25.99,,,,,
98,08/10/23 05:30:00 PM,627.5,26.19,,,,,
99,08/10/23 06:00:00 PM,627.9,26.23,,,,,
100,08/10/23 06:30:00 PM,626.8,26.14,,,,,
101,08/10/23 07:00:00 PM,627.1,26.18,,,,,
102,08/10/23 07:30:00 PM,627.1,26.18,,,,,
103,08/10/23 08:00:00 PM,627.2,26.14,,,,,
104,08/10/23 08:30:00 PM,626.8,26.13,,,,,
105,08/10/23 09:00:00 PM,626.8,26.12,,,,,
106,08/10/23 09:30:00 PM,626.4,26.09,,,,,
107,08/10/23 10:00:00 PM,626.0,26.08,,,,,
108,08/10/23 10:30:00 PM,625.6,26.01,,,,,
109,08/10/23 11:00:00 PM,626.0,26.04,,,,,
110,08/10/23 11:30:00 PM,626.0,26.01,,,,,
111,08/11/23 12:00:00 AM,626.0,26.00,,,,,
112,08/11/23 12:30:00 AM,625.6,25.99,,,,,
113,08/11/23 01:00:00 AM,625.2,25.96,,,,,
114,08/11/23 01:30:00 AM,625.2,25.96,,,,,
115,08/11/23 02:00:00 AM,624.9,25.91,,,,,
116,08/11/23 02:30:00 AM,624.1,25.89,,,,,
117,08/11/23 03:00:00 AM,623.7,25.85,,,,,
118,08/11/23 03:30:00 AM,623.7,25.86,,,,,
119,08/11/23 04:00:00 AM,623.6,25.89,,,,,
120,08/11/23 04:30:00 AM,624.5,25.89,,,,,
121,08/11/23 05:00:00 AM,624.1,25.88,,,,,
122,08/11/23 05:30:00 AM,623.7,25.86,,,,,
123,08/11/23 06:00:00 AM,623.7,25.85,,,,,
124,08/11/23 06:30:00 AM,623.7,25.83,,,,,
125,08/11/23 07:00:00 AM,622.9,25.75,,,,,
126,08/11/23 07:30:00 AM,621.7,25.70,,,,,
127,08/11/23 08:00:00 AM,621.3,25.65,,,,,
128,08/11/23 08:30:00 AM,621.3,25.66,,,,,
129,08/11/23 09:00:00 AM,621.7,25.65,,,,,
130,08/11/23 09:30:00 AM,622.5,25.75,,,,,
131,08/11/23 10:00:00 AM,621.7,25.70,,,,,
132,08/11/23 10:30:00 AM,621.7,25.66,,,,,
133,08/11/23 11:00:00 AM,621.3,25.64,,,,,
134,08/11/23 11:30:00 AM,621.3,25.64,,,,,
135,08/11/23 12:00:00 PM,621.3,25.65,,,,,
136,08/11/23 12:30:00 PM,621.7,25.66,,,,,
137,08/11/23 01:00:00 PM,622.1,25.69,,,,,
138,08/11/23 01:30:00 PM,621.7,25.66,,,,,
139,08/11/23 02:00:00 PM,622.1,25.72,,,,,
140,08/11/23 02:30:00 PM,622.9,25.78,,,,,
141,08/11/23 03:00:00 PM,622.9,25.83,,,,,
142,08/11/23 03:30:00 PM,623.3,25.83,,,,,
143,08/11/23 04:00:00 PM,623.3,25.81,,,,,
144,08/11/23 04:30:00 PM,623.3,25.80,,,,,
145,08/11/23 05:00:00 PM,623.7,25.83,,,,,
146,08/11/23 05:30:00 PM,623.3,25.81,,,,,
147,08/11/23 06:00:00 PM,623.3,25.83,,,,,
148,08/11/23 06:30:00 PM,623.7,25.83,,,,,
149,08/11/23 07:00:00 PM,623.3,25.79,,,,,
150,08/11/23 07:30:00 PM,622.9,25.75,,,,,
151,08/11/23 08:00:00 PM,622.1,25.70,,,,,
152,08/11/23 08:30:00 PM,622.1,25.67,,,,,
153,08/11/23 09:00:00 PM,621.8,25.62,,,,,
154,08/11/23 09:30:00 PM,621.0,25.59,,,,,
155,08/11/23 10:00:00 PM,621.0,25.57,,,,,
156,08/11/23 10:30:00 PM,621.0,25.56,,,,,
157,08/11/23 11:00:00 PM,620.6,25.55,,,,,
158,08/11/23 11:30:00 PM,620.6,25.55,,,,,
159,08/12/23 12:00:00 AM,619.8,25.55,,,,,
160,08/12/23 12:30:00 AM,619.8,25.52,,,,,
161,08/12/23 01:00:00 AM,619.8,25.50,,,,,
162,08/12/23 01:30:00 AM,619.0,25.47,,,,,
163,08/12/23 02:00:00 AM,619.0,25.42,,,,,
164,08/12/23 02:30:00 AM,618.6,25.41,,,,,
165,08/12/23 03:00:00 AM,618.2,25.36,,,,,
166,08/12/23 03:30:00 AM,618.3,25.32,,,,,
167,08/12/23 04:00:00 AM,617.5,25.28,,,,,
168,08/12/23 04:30:00 AM,617.5,25.27,,,,,
169,08/12/23 05:00:00 AM,617.5,25.26,,,,,
170,08/12/23 05:30:00 AM,617.1,25.23,,,,,
171,08/12/23 06:00:00 AM,616.7,25.21,,,,,
172,08/12/23 06:30:00 AM,616.7,25.21,,,,,
173,08/12/23 07:00:00 AM,616.7,25.21,,,,,
174,08/12/23 07:30:00 AM,616.7,25.21,,,,,
175,08/12/23 08:00:00 AM,617.5,25.22,,,,,
176,08/12/23 08:30:00 AM,617.5,25.27,,,,,
177,08/12/23 09:00:00 AM,618.7,25.33,,,,,
178,08/12/23 09:30:00 AM,619.1,25.37,,,,,
179,08/12/23 10:00:00 AM,618.7,25.32,,,,,
180,08/12/23 10:30:00 AM,619.4,25.41,,,,,
181,08/12/23 11:00:00 AM,618.3,25.32,,,,,
182,08/12/23 11:30:00 AM,619.8,25.47,,,,,
183,08/12/23 12:00:00 PM,621.0,25.56,,,,,
184,08/12/23 12:30:00 PM,619.8,25.43,,,,,
185,08/12/23 01:00:00 PM,623.0,25.66,,,,,
186,08/12/23 01:30:00 PM,624.1,25.79,,,,,
187,08/12/23 02:00:00 PM,624.1,25.80,,,,,
188,08/12/23 02:30:00 PM,625.3,25.91,,,,,
189,08/12/23 03:00:00 PM,624.9,25.86,,,,,
190,08/12/23 03:30:00 PM,624.9,25.86,,,,,
191,08/12/23 04:00:00 PM,624.5,25.84,,,,,
192,08/12/23 04:30:00 PM,623.3,25.76,,,,,
193,08/12/23 05:00:00 PM,623.3,25.75,,,,,
194,08/12/23 05:30:00 PM,623.3,25.75,,,,,
195,08/12/23 06:00:00 PM,622.9,25.75,,,,,
196,08/12/23 06:30:00 PM,623.3,25.74,,,,,
197,08/12/23 07:00:00 PM,623.0,25.67,,,,,
198,08/12/23 07:30:00 PM,622.6,25.65,,,,,
199,08/12/23 08:00:00 PM,622.2,25.62,,,,,
200,08/12/23 08:30:00 PM,622.2,25.60,,,,,
201,08/12/23 09:00:00 PM,622.2,25.59,,,,,
202,08/12/23 09:30:00 PM,622.2,25.59,,,,,
203,08/12/23 10:00:00 PM,621.8,25.56,,,,,
204,08/12/23 10:30:00 PM,621.0,25.55,,,,,
205,08/12/23 11:00:00 PM,621.0,25.52,,,,,
206,08/12/23 11:30:00 PM,621.0,25.52,,,,,
207,08/13/23 12:00:00 AM,621.0,25.51,,,,,
208,08/13/23 12:30:00 AM,620.6,25.49,,,,,
209,08/13/23 01:00:00 AM,620.2,25.47,,,,,
