"Plot Title: Monona 15m"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21506937, SEN S/N: 21506937)","Temp, °C (LGR S/N: 21506937, SEN S/N: 21506937)","Coupler Detached (LGR S/N: 21506937)","Coupler Attached (LGR S/N: 21506937)","Host Connected (LGR S/N: 21506937)","Stopped (LGR S/N: 21506937)","End Of File (LGR S/N: 21506937)"
1,08/08/23 05:00:00 PM,496.3,10.54,Logged,,,,
2,08/08/23 05:30:00 PM,497.4,10.63,,,,,
3,08/08/23 06:00:00 PM,497.4,10.65,,,,,
4,08/08/23 06:30:00 PM,497.1,10.59,,,,,
5,08/08/23 07:00:00 PM,496.6,10.59,,,,,
6,08/08/23 07:30:00 PM,496.2,10.59,,,,,
7,08/08/23 08:00:00 PM,497.0,10.66,,,,,
8,08/08/23 08:30:00 PM,497.8,10.69,,,,,
9,08/08/23 09:00:00 PM,497.4,10.66,,,,,
10,08/08/23 09:30:00 PM,497.0,10.67,,,,,
11,08/08/23 10:00:00 PM,497.8,10.71,,,,,
12,08/08/23 10:30:00 PM,497.4,10.67,,,,,
13,08/08/23 11:00:00 PM,497.4,10.66,,,,,
14,08/08/23 11:30:00 PM,495.8,10.58,,,,,
15,08/09/23 12:00:00 AM,495.8,10.58,,,,,
16,08/09/23 12:30:00 AM,495.9,10.54,,,,,
17,08/09/23 01:00:00 AM,496.3,10.55,,,,,
18,08/09/23 01:30:00 AM,495.9,10.55,,,,,
19,08/09/23 02:00:00 AM,496.2,10.59,,,,,
20,08/09/23 02:30:00 AM,496.6,10.63,,,,,
21,08/09/23 03:00:00 AM,496.6,10.67,,,,,
22,08/09/23 03:30:00 AM,497.0,10.69,,,,,
23,08/09/23 04:00:00 AM,497.4,10.71,,,,,
24,08/09/23 04:30:00 AM,497.0,10.70,,,,,
25,08/09/23 05:00:00 AM,497.8,10.75,,,,,
26,08/09/23 05:30:00 AM,497.0,10.69,,,,,
27,08/09/23 06:00:00 AM,496.2,10.63,,,,,
28,08/09/23 06:30:00 AM,497.0,10.65,,,,,
29,08/09/23 07:00:00 AM,496.6,10.61,,,,,
30,08/09/23 07:30:00 AM,495.8,10.57,,,,,
31,08/09/23 08:00:00 AM,495.8,10.57,,,,,
32,08/09/23 08:30:00 AM,495.8,10.58,,,,,
33,08/09/23 09:00:00 AM,495.0,10.58,,,,,
