"Plot Title: Monona Bottom"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21483257, SEN S/N: 21483257)","Temp, °C (LGR S/N: 21483257, SEN S/N: 21483257)","Coupler Detached (LGR S/N: 21483257)","Coupler Attached (LGR S/N: 21483257)","Host Connected (LGR S/N: 21483257)","Stopped (LGR S/N: 21483257)","End Of File (LGR S/N: 21483257)"
1,08/08/23 05:00:00 PM,489.3,10.47,Logged,,,,
2,08/08/23 05:30:00 PM,489.2,10.48,,,,,
3,08/08/23 06:00:00 PM,489.2,10.49,,,,,
4,08/08/23 06:30:00 PM,489.2,10.49,,,,,
5,08/08/23 07:00:00 PM,489.2,10.48,,,,,
6,08/08/23 07:30:00 PM,488.8,10.49,,,,,
7,08/08/23 08:00:00 PM,488.8,10.49,,,,,
8,08/08/23 08:30:00 PM,488.8,10.49,,,,,
9,08/08/23 09:00:00 PM,489.2,10.48,,,,,
10,08/08/23 09:30:00 PM,489.7,10.45,,,,,
11,08/08/23 10:00:00 PM,489.7,10.47,,,,,
12,08/08/23 10:30:00 PM,489.7,10.47,,,,,
13,08/08/23 11:00:00 PM,489.7,10.47,,,,,
14,08/08/23 11:30:00 PM,489.6,10.48,,,,,
15,08/09/23 12:00:00 AM,489.6,10.48,,,,,
16,08/09/23 12:30:00 AM,490.5,10.45,,,,,
17,08/09/23 01:00:00 AM,490.1,10.45,,,,,
18,08/09/23 01:30:00 AM,489.7,10.45,,,,,
19,08/09/23 02:00:00 AM,490.1,10.45,,,,,
20,08/09/23 02:30:00 AM,490.1,10.47,,,,,
21,08/09/23 03:00:00 AM,489.7,10.47,,,,,
22,08/09/23 03:30:00 AM,489.7,10.47,,,,,
23,08/09/23 04:00:00 AM,489.7,10.47,,,,,
24,08/09/23 04:30:00 AM,489.7,10.45,,,,,
25,08/09/23 05:00:00 AM,490.1,10.47,,,,,
26,08/09/23 05:30:00 AM,490.1,10.45,,,,,
27,08/09/23 06:00:00 AM,490.1,10.45,,,,,
28,08/09/23 06:30:00 AM,490.1,10.45,,,,,
29,08/09/23 07:00:00 AM,490.5,10.44,,,,,
30,08/09/23 07:30:00 AM,491.3,10.44,,,,,
31,08/09/23 08:00:00 AM,490.1,10.45,,,,,
32,08/09/23 08:30:00 AM,490.1,10.47,,,,,
33,08/09/23 09:00:00 AM,490.1,10.45,,,,,
34,08/09/23 09:30:00 AM,490.1,10.45,,,,,
35,08/09/23 10:00:00 AM,490.1,10.47,,,,,
36,08/09/23 10:30:00 AM,490.1,10.47,,,,,
37,08/09/23 11:00:00 AM,490.0,10.48,,,,,
38,08/09/23 11:30:00 AM,490.1,10.47,,,,,
39,08/09/23 12:00:00 PM,489.6,10.48,,,,,
40,08/09/23 12:30:00 PM,490.1,10.47,,,,,
41,08/09/23 01:00:00 PM,490.1,10.47,,,,,
42,08/09/23 01:30:00 PM,490.9,10.44,,,,,
43,08/09/23 02:00:00 PM,491.3,10.44,,,,,
44,08/09/23 02:30:00 PM,490.9,10.44,,,,,
45,08/09/23 03:00:00 PM,490.1,10.45,,,,,
46,08/09/23 03:30:00 PM,490.1,10.47,,,,,
