"Plot Title: Pheasant Branch bottom"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21483253, SEN S/N: 21483253)","Temp, °C (LGR S/N: 21483253, SEN S/N: 21483253)","Coupler Detached (LGR S/N: 21483253)","Coupler Attached (LGR S/N: 21483253)","Host Connected (LGR S/N: 21483253)","Stopped (LGR S/N: 21483253)","End Of File (LGR S/N: 21483253)"
1,06/12/23 05:00:00 PM,414.0,9.93,Logged,,,,
2,06/12/23 05:30:00 PM,413.6,9.88,,,,,
3,06/12/23 06:00:00 PM,419.1,10.35,,,,,
4,06/12/23 06:30:00 PM,416.0,10.08,,,,,
5,06/12/23 07:00:00 PM,414.8,9.97,,,,,
6,06/12/23 07:30:00 PM,418.3,10.30,,,,,
7,06/12/23 08:00:00 PM,424.1,10.86,,,,,
8,06/12/23 08:30:00 PM,425.3,10.96,,,,,
9,06/12/23 09:00:00 PM,424.9,10.94,,,,,
10,06/12/23 09:30:00 PM,427.6,11.24,,,,,
11,06/12/23 10:00:00 PM,427.6,11.21,,,,,
12,06/12/23 10:30:00 PM,430.7,11.48,,,,,
13,06/12/23 11:00:00 PM,433.5,11.74,,,,,
14,06/12/23 11:30:00 PM,433.5,11.72,,,,,
15,06/13/23 12:00:00 AM,431.9,11.60,,,,,
16,06/13/23 12:30:00 AM,430.3,11.44,,,,,
17,06/13/23 01:00:00 AM,424.9,10.93,,,,,
18,06/13/23 01:30:00 AM,409.8,9.36,,,,,
19,06/13/23 02:00:00 AM,408.6,9.23,,,,,
20,06/13/23 02:30:00 AM,408.6,9.32,,,,,
21,06/13/23 03:00:00 AM,411.3,9.61,,,,,
22,06/13/23 03:30:00 AM,412.1,9.67,,,,,
23,06/13/23 04:00:00 AM,417.9,10.18,,,,,
24,06/13/23 04:30:00 AM,421.4,10.59,,,,,
25,06/13/23 05:00:00 AM,424.1,10.85,,,,,
26,06/13/23 05:30:00 AM,427.6,11.18,,,,,
27,06/13/23 06:00:00 AM,429.2,11.33,,,,,
28,06/13/23 06:30:00 AM,431.9,11.55,,,,,
29,06/13/23 07:00:00 AM,444.3,12.72,,,,,
30,06/13/23 07:30:00 AM,457.9,13.93,,,,,
31,06/13/23 08:00:00 AM,435.0,11.84,,,,,
32,06/13/23 08:30:00 AM,419.5,10.34,,,,,
33,06/13/23 09:00:00 AM,412.9,9.64,,,,,
34,06/13/23 09:30:00 AM,409.5,9.08,,,,,
35,06/13/23 10:00:00 AM,407.1,9.06,,,,,
36,06/13/23 10:30:00 AM,409.4,9.33,,,,,
37,06/13/23 11:00:00 AM,416.8,10.09,,,,,
38,06/13/23 11:30:00 AM,416.4,10.10,,,,,
39,06/13/23 12:00:00 PM,416.7,10.15,,,,,
40,06/13/23 12:30:00 PM,417.1,10.17,,,,,
41,06/13/23 01:00:00 PM,429.6,11.30,,,,,
42,06/13/23 01:30:00 PM,434.2,11.77,,,,,
43,06/13/23 02:00:00 PM,447.9,12.97,,,,,
44,06/13/23 02:30:00 PM,435.0,11.81,,,,,
45,06/13/23 03:00:00 PM,417.5,10.19,,,,,
46,06/13/23 03:30:00 PM,407.1,9.06,,,,,
47,06/13/23 04:00:00 PM,405.1,8.90,,,,,
48,06/13/23 04:30:00 PM,404.4,8.77,,,,,
49,06/13/23 05:00:00 PM,404.4,8.76,,,,,
50,06/13/23 05:30:00 PM,403.9,8.80,,,,,
51,06/13/23 06:00:00 PM,405.1,8.86,,,,,
52,06/13/23 06:30:00 PM,405.1,8.91,,,,,
53,06/13/23 07:00:00 PM,405.5,8.96,,,,,
54,06/13/23 07:30:00 PM,406.7,9.06,,,,,
55,06/13/23 08:00:00 PM,407.4,9.18,,,,,
56,06/13/23 08:30:00 PM,408.2,9.27,,,,,
57,06/13/23 09:00:00 PM,409.4,9.39,,,,,
58,06/13/23 09:30:00 PM,411.3,9.58,,,,,
59,06/13/23 10:00:00 PM,416.0,10.03,,,,,
60,06/13/23 10:30:00 PM,414.4,9.87,,,,,
61,06/13/23 11:00:00 PM,417.5,10.18,,,,,
62,06/13/23 11:30:00 PM,418.3,10.27,,,,,
63,06/14/23 12:00:00 AM,419.1,10.34,,,,,
64,06/14/23 12:30:00 AM,412.1,9.59,,,,,
65,06/14/23 01:00:00 AM,407.8,9.19,,,,,
66,06/14/23 01:30:00 AM,406.3,9.00,,,,,
67,06/14/23 02:00:00 AM,405.5,8.88,,,,,
68,06/14/23 02:30:00 AM,404.4,8.75,,,,,
69,06/14/23 03:00:00 AM,404.8,8.77,,,,,
70,06/14/23 03:30:00 AM,406.7,9.02,,,,,
71,06/14/23 04:00:00 AM,408.6,9.28,,,,,
