"Plot Title: Waubesa 2m"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21506935, SEN S/N: 21506935)","Temp, °C (LGR S/N: 21506935, SEN S/N: 21506935)","Coupler Detached (LGR S/N: 21506935)","Coupler Attached (LGR S/N: 21506935)","Host Connected (LGR S/N: 21506935)","Stopped (LGR S/N: 21506935)","End Of File (LGR S/N: 21506935)"
1,08/08/23 05:00:00 PM,632.8,26.52,Logged,,,,
2,08/08/23 05:30:00 PM,632.8,26.52,,,,,
3,08/08/23 06:00:00 PM,632.7,26.54,,,,,
4,08/08/23 06:30:00 PM,632.7,26.54,,,,,
5,08/08/23 07:00:00 PM,634.0,26.53,,,,,
6,08/08/23 07:30:00 PM,632.8,26.52,,,,,
7,08/08/23 08:00:00 PM,632.8,26.51,,,,,
8,08/08/23 08:30:00 PM,632.8,26.52,,,,,
9,08/08/23 09:00:00 PM,632.4,26.51,,,,,
10,08/08/23 09:30:00 PM,632.8,26.49,,,,,
11,08/08/23 10:00:00 PM,632.0,26.48,,,,,
12,08/08/23 10:30:00 PM,632.0,26.44,,,,,
13,08/08/23 11:00:00 PM,631.2,26.40,,,,,
14,08/08/23 11:30:00 PM,630.9,26.35,,,,,
15,08/09/23 12:00:00 AM,630.9,26.30,,,,,
16,08/09/23 12:30:00 AM,630.1,26.25,,,,,
17,08/09/23 01:00:00 AM,629.8,26.20,,,,,
18,08/09/23 01:30:00 AM,629.8,26.15,,,,,
19,08/09/23 02:00:00 AM,629.0,26.13,,,,,
20,08/09/23 02:30:00 AM,629.0,26.10,,,,,
21,08/09/23 03:00:00 AM,629.0,26.10,,,,,
22,08/09/23 03:30:00 AM,629.0,26.09,,,,,
23,08/09/23 04:00:00 AM,638.7,26.06,,,,,
24,08/09/23 04:30:00 AM,628.3,26.04,,,,,
25,08/09/23 05:00:00 AM,628.7,26.04,,,,,
26,08/09/23 05:30:00 AM,628.3,26.01,,,,,
27,08/09/23 06:00:00 AM,627.9,25.99,,,,,
28,08/09/23 06:30:00 AM,627.9,25.99,,,,,
29,08/09/23 07:00:00 AM,628.3,25.97,,,,,
30,08/09/23 07:30:00 AM,627.9,25.97,,,,,
31,08/09/23 08:00:00 AM,627.9,25.97,,,,,
32,08/09/23 08:30:00 AM,627.9,26.00,,,,,
33,08/09/23 09:00:00 AM,628.7,26.05,,,,,
34,08/09/23 09:30:00 AM,627.8,26.09,,,,,
35,08/09/23 10:00:00 AM,628.7,26.06,,,,,
36,08/09/23 10:30:00 AM,628.7,26.06,,,,,
37,08/09/23 11:00:00 AM,627.9,26.04,,,,,
38,08/09/23 11:30:00 AM,627.9,26.01,,,,,
39,08/09/23 12:00:00 PM,627.9,26.02,,,,,
40,08/09/23 12:30:00 PM,627.9,26.05,,,,,
41,08/09/23 01:00:00 PM,627.9,26.06,,,,,
42,08/09/23 01:30:00 PM,628.6,26.09,,,,,
43,08/09/23 02:00:00 PM,629.0,26.15,,,,,
44,08/09/23 02:30:00 PM,629.8,26.21,,,,,
45,08/09/23 03:00:00 PM,630.5,26.28,,,,,
46,08/09/23 03:30:00 PM,630.9,26.30,,,,,
47,08/09/23 04:00:00 PM,630.5,26.29,,,,,
48,08/09/23 04:30:00 PM,630.1,26.24,,,,,
49,08/09/23 05:00:00 PM,630.2,26.21,,,,,
50,08/09/23 05:30:00 PM,629.4,26.18,,,,,
51,08/09/23 06:00:00 PM,629.0,26.11,,,,,
52,08/09/23 06:30:00 PM,628.6,26.09,,,,,
53,08/09/23 07:00:00 PM,628.7,26.05,,,,,
54,08/09/23 07:30:00 PM,627.9,26.01,,,,,
55,08/09/23 08:00:00 PM,628.3,25.99,,,,,
56,08/09/23 08:30:00 PM,627.5,25.97,,,,,
57,08/09/23 09:00:00 PM,627.5,25.95,,,,,
58,08/09/23 09:30:00 PM,627.2,25.92,,,,,
59,08/09/23 10:00:00 PM,627.2,25.92,,,,,
60,08/09/23 10:30:00 PM,627.2,25.89,,,,,
61,08/09/23 11:00:00 PM,627.2,25.87,,,,,
62,08/09/23 11:30:00 PM,627.2,25.85,,,,,
63,08/10/23 12:00:00 AM,627.2,25.83,,,,,
64,08/10/23 12:30:00 AM,626.4,25.82,,,,,
65,08/10/23 01:00:00 AM,626.4,25.80,,,,,
66,08/10/23 01:30:00 AM,626.1,25.77,,,,,
67,08/10/23 02:00:00 AM,626.1,25.76,,,,,
68,08/10/23 02:30:00 AM,626.1,25.73,,,,,
69,08/10/23 03:00:00 AM,626.1,25.72,,,,,
70,08/10/23 03:30:00 AM,625.3,25.68,,,,,
71,08/10/23 04:00:00 AM,625.3,25.66,,,,,
72,08/10/23 04:30:00 AM,624.6,25.62,,,,,
73,08/10/23 05:00:00 AM,625.0,25.62,,,,,
74,08/10/23 05:30:00 AM,624.6,25.58,,,,,
75,08/10/23 06:00:00 AM,624.2,25.56,,,,,
76,08/10/23 06:30:00 AM,623.8,25.53,,,,,
77,08/10/23 07:00:00 AM,625.0,25.51,,,,,
78,08/10/23 07:30:00 AM,625.0,25.52,,,,,
79,08/10/23 08:00:00 AM,624.2,25.54,,,,,
80,08/10/23 08:30:00 AM,624.2,25.56,,,,,
81,08/10/23 09:00:00 AM,624.6,25.59,,,,,
82,08/10/23 09:30:00 AM,627.0,25.62,,,,,
83,08/10/23 10:00:00 AM,626.5,25.68,,,,,
84,08/10/23 10:30:00 AM,626.1,25.77,,,,,
85,08/10/23 11:00:00 AM,627.2,25.86,,,,,
86,08/10/23 11:30:00 AM,628.3,25.96,,,,,
87,08/10/23 12:00:00 PM,629.9,26.06,,,,,
88,08/10/23 12:30:00 PM,629.1,26.02,,,,,
89,08/10/23 01:00:00 PM,629.4,26.09,,,,,
90,08/10/23 01:30:00 PM,631.7,26.27,,,,,
91,08/10/23 02:00:00 PM,630.2,26.13,,,,,
92,08/10/23 02:30:00 PM,631.7,26.27,,,,,
93,08/10/23 03:00:00 PM,633.3,26.39,,,,,
94,08/10/23 03:30:00 PM,633.3,26.39,,,,,
95,08/10/23 04:00:00 PM,633.6,26.43,,,,,
96,08/10/23 04:30:00 PM,634.0,26.47,,,,,
97,08/10/23 05:00:00 PM,634.4,26.53,,,,,
98,08/10/23 05:30:00 PM,635.1,26.57,,,,,
99,08/10/23 06:00:00 PM,634.8,26.53,,,,,
100,08/10/23 06:30:00 PM,632.9,26.35,,,,,
101,08/10/23 07:00:00 PM,635.9,26.62,,,,,
102,08/10/23 07:30:00 PM,635.1,26.58,,,,,
103,08/10/23 08:00:00 PM,635.1,26.57,,,,,
104,08/10/23 08:30:00 PM,634.8,26.53,,,,,
105,08/10/23 09:00:00 PM,634.4,26.51,,,,,
106,08/10/23 09:30:00 PM,634.0,26.47,,,,,
107,08/10/23 10:00:00 PM,633.6,26.46,,,,,
108,08/10/23 10:30:00 PM,633.6,26.43,,,,,
109,08/10/23 11:00:00 PM,633.2,26.40,,,,,
