"Plot Title: Yahara 3.5m"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21483252, SEN S/N: 21483252)","Temp, °C (LGR S/N: 21483252, SEN S/N: 21483252)","Coupler Detached (LGR S/N: 21483252)","Coupler Attached (LGR S/N: 21483252)","Host Connected (LGR S/N: 21483252)","Stopped (LGR S/N: 21483252)","End Of File (LGR S/N: 21483252)"
1,06/12/23 05:00:00 PM,510.1,19.63,Logged,,,,
2,06/12/23 05:30:00 PM,510.1,19.60,,,,,
3,06/12/23 06:00:00 PM,508.6,19.38,,,,,
4,06/12/23 06:30:00 PM,497.2,18.18,,,,,
5,06/12/23 07:00:00 PM,498.8,18.34,,,,,
6,06/12/23 07:30:00 PM,493.8,17.87,,,,,
7,06/12/23 08:00:00 PM,488.9,17.37,,,,,
8,06/12/23 08:30:00 PM,485.0,16.98,,,,,
9,06/12/23 09:00:00 PM,492.3,17.67,,,,,
10,06/12/23 09:30:00 PM,493.5,17.77,,,,,
11,06/12/23 10:00:00 PM,491.9,17.66,,,,,
12,06/12/23 10:30:00 PM,487.4,17.18,,,,,
13,06/12/23 11:00:00 PM,491.9,17.66,,,,,
14,06/12/23 11:30:00 PM,494.6,17.94,,,,,
15,06/13/23 12:00:00 AM,494.9,17.98,,,,,
16,06/13/23 12:30:00 AM,495.7,18.00,,,,,
17,06/13/23 01:00:00 AM,496.5,18.09,,,,,
18,06/13/23 01:30:00 AM,498.0,18.25,,,,,
19,06/13/23 02:00:00 AM,499.9,18.39,,,,,
20,06/13/23 02:30:00 AM,499.9,18.40,,,,,
21,06/13/23 03:00:00 AM,498.0,18.21,,,,,
22,06/13/23 03:30:00 AM,499.5,18.39,,,,,
23,06/13/23 04:00:00 AM,500.7,18.47,,,,,
24,06/13/23 04:30:00 AM,501.1,18.52,,,,,
25,06/13/23 05:00:00 AM,501.1,18.53,,,,,
26,06/13/23 05:30:00 AM,499.9,18.43,,,,,
27,06/13/23 06:00:00 AM,500.7,18.47,,,,,
28,06/13/23 06:30:00 AM,501.0,18.56,,,,,
29,06/13/23 07:00:00 AM,501.1,18.53,,,,,
30,06/13/23 07:30:00 AM,503.0,18.71,,,,,
31,06/13/23 08:00:00 AM,503.0,18.74,,,,,
32,06/13/23 08:30:00 AM,503.0,18.69,,,,,
33,06/13/23 09:00:00 AM,502.2,18.66,,,,,
34,06/13/23 09:30:00 AM,501.4,18.56,,,,,
35,06/13/23 10:00:00 AM,499.9,18.43,,,,,
36,06/13/23 10:30:00 AM,499.1,18.38,,,,,
37,06/13/23 11:00:00 AM,499.5,18.38,,,,,
38,06/13/23 11:30:00 AM,498.4,18.34,,,,,
39,06/13/23 12:00:00 PM,498.4,18.29,,,,,
40,06/13/23 12:30:00 PM,498.8,18.34,,,,,
41,06/13/23 01:00:00 PM,498.8,18.34,,,,,
42,06/13/23 01:30:00 PM,498.4,18.34,,,,,
43,06/13/23 02:00:00 PM,498.4,18.35,,,,,
44,06/13/23 02:30:00 PM,498.7,18.40,,,,,
45,06/13/23 03:00:00 PM,503.3,18.84,,,,,
46,06/13/23 03:30:00 PM,505.6,19.02,,,,,
47,06/13/23 04:00:00 PM,506.4,19.09,,,,,
48,06/13/23 04:30:00 PM,503.7,18.86,,,,,
49,06/13/23 05:00:00 PM,504.8,18.96,,,,,
50,06/13/23 05:30:00 PM,503.3,18.83,,,,,
51,06/13/23 06:00:00 PM,502.9,18.80,,,,,
52,06/13/23 06:30:00 PM,499.9,18.51,,,,,
53,06/13/23 07:00:00 PM,499.9,18.51,,,,,
54,06/13/23 07:30:00 PM,498.4,18.34,,,,,
55,06/13/23 08:00:00 PM,499.9,18.44,,,,,
56,06/13/23 08:30:00 PM,499.9,18.47,,,,,
57,06/13/23 09:00:00 PM,500.7,18.51,,,,,
58,06/13/23 09:30:00 PM,500.3,18.47,,,,,
59,06/13/23 10:00:00 PM,500.7,18.52,,,,,
60,06/13/23 10:30:00 PM,501.1,18.55,,,,,
61,06/13/23 11:00:00 PM,501.4,18.60,,,,,
62,06/13/23 11:30:00 PM,502.2,18.64,,,,,
63,06/14/23 12:00:00 AM,502.2,18.62,,,,,
64,06/14/23 12:30:00 AM,502.2,18.67,,,,,
65,06/14/23 01:00:00 AM,501.1,18.51,,,,,
66,06/14/23 01:30:00 AM,501.1,18.51,,,,,
67,06/14/23 02:00:00 AM,499.2,18.34,,,,,
68,06/14/23 02:30:00 AM,499.9,18.42,,,,,
69,06/14/23 03:00:00 AM,501.4,18.56,,,,,
70,06/14/23 03:30:00 AM,502.2,18.64,,,,,
71,06/14/23 04:00:00 AM,503.0,18.71,,,,,
72,06/14/23 04:30:00 AM,503.7,18.79,,,,,
73,06/14/23 05:00:00 AM,504.5,18.87,,,,,
74,06/14/23 05:30:00 AM,504.9,18.86,,,,,
75,06/14/23 06:00:00 AM,504.1,18.86,,,,,
76,06/14/23 06:30:00 AM,504.1,18.82,,,,,
77,06/14/23 07:00:00 AM,504.1,18.78,,,,,
78,06/14/23 07:30:00 AM,504.9,18.88,,,,,
79,06/14/23 08:00:00 AM,504.1,18.78,,,,,
80,06/14/23 08:30:00 AM,503.3,18.76,,,,,
81,06/14/23 09:00:00 AM,503.0,18.69,,,,,
82,06/14/23 09:30:00 AM,502.2,18.66,,,,,
83,06/14/23 10:00:00 AM,502.2,18.62,,,,,
84,06/14/23 10:30:00 AM,247.7,19.64,,,,,
85,06/14/23 11:00:00 AM,501.4,18.57,,,,,
86,06/14/23 11:30:00 AM,501.0,18.57,,,,,
87,06/14/23 12:00:00 PM,501.0,18.57,,,,,
88,06/14/23 12:30:00 PM,501.0,18.60,,,,,
89,06/14/23 01:00:00 PM,501.4,18.64,,,,,
90,06/14/23 01:30:00 PM,501.4,18.67,,,,,
91,06/14/23 02:00:00 PM,502.5,18.76,,,,,
92,06/14/23 02:30:00 PM,502.5,18.79,,,,,
93,06/14/23 03:00:00 PM,503.7,18.91,,,,,
94,06/14/23 03:30:00 PM,501.4,18.67,,,,,
95,06/14/23 04:00:00 PM,501.8,18.70,,,,,
96,06/14/23 04:30:00 PM,500.6,18.62,,,,,
97,06/14/23 05:00:00 PM,499.8,18.57,,,,,
98,06/14/23 05:30:00 PM,504.8,19.11,,,,,
99,06/14/23 06:00:00 PM,505.1,19.15,,,,,
100,06/14/23 06:30:00 PM,503.6,18.98,,,,,
101,06/14/23 07:00:00 PM,502.9,18.91,,,,,
102,06/14/23 07:30:00 PM,502.9,18.84,,,,,
103,06/14/23 08:00:00 PM,502.5,18.80,,,,,
104,06/14/23 08:30:00 PM,501.7,18.75,,,,,
105,06/14/23 09:00:00 PM,501.7,18.78,,,,,
106,06/14/23 09:30:00 PM,502.1,18.82,,,,,
107,06/14/23 10:00:00 PM,502.1,18.87,,,,,
108,06/14/23 10:30:00 PM,502.1,18.87,,,,,
109,06/14/23 11:00:00 PM,504.7,19.19,,,,,
110,06/14/23 11:30:00 PM,490.6,19.36,,,,,
111,06/15/23 12:00:00 AM,498.2,19.41,,,,,
112,06/15/23 12:30:00 AM,492.8,19.73,,,,,
113,06/15/23 01:00:00 AM,497.5,19.91,,,,,
114,06/15/23 01:30:00 AM,500.3,20.04,,,,,
115,06/15/23 02:00:00 AM,525.6,21.18,,,,,
116,06/15/23 02:30:00 AM,533.8,21.55,,,,,
117,06/15/23 03:00:00 AM,534.2,21.58,,,,,
118,06/15/23 03:30:00 AM,533.8,21.51,,,,,
119,06/15/23 04:00:00 AM,533.4,21.50,,,,,
