"Plot Title: Mendota Deephole 10m"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21483258, SEN S/N: 21483258)","Temp, °C (LGR S/N: 21483258, SEN S/N: 21483258)","Coupler Detached (LGR S/N: 21483258)","Coupler Attached (LGR S/N: 21483258)","Host Connected (LGR S/N: 21483258)","Stopped (LGR S/N: 21483258)","End Of File (LGR S/N: 21483258)"
1,10/08/24 03:00:00 PM,463.3,18.78,Logged,,,,
2,10/08/24 03:30:00 PM,462.9,18.76,,,,,
3,10/08/24 04:00:00 PM,462.1,18.74,,,,,
4,10/08/24 04:30:00 PM,462.5,18.76,,,,,
5,10/08/24 05:00:00 PM,462.5,18.72,,,,,
6,10/08/24 05:30:00 PM,462.1,18.75,,,,,
7,10/08/24 06:00:00 PM,462.1,18.76,,,,,
8,10/08/24 06:30:00 PM,462.5,18.78,,,,,
9,10/08/24 07:00:00 PM,463.2,18.80,,,,,
10,10/08/24 07:30:00 PM,462.4,18.80,,,,,
11,10/08/24 08:00:00 PM,462.5,18.76,,,,,
12,10/08/24 08:30:00 PM,463.6,18.84,,,,,
13,10/08/24 09:00:00 PM,464.0,18.88,,,,,
14,10/08/24 09:30:00 PM,464.0,18.87,,,,,
15,10/08/24 10:00:00 PM,464.0,18.87,,,,,
16,10/08/24 10:30:00 PM,464.0,18.88,,,,,
17,10/08/24 11:00:00 PM,464.0,18.87,,,,,
18,10/08/24 11:30:00 PM,464.4,18.87,,,,,
19,10/09/24 12:00:00 AM,464.4,18.89,,,,,
20,10/09/24 12:30:00 AM,464.4,18.89,,,,,
21,10/09/24 01:00:00 AM,464.8,18.91,,,,,
22,10/09/24 01:30:00 AM,464.8,18.92,,,,,
23,10/09/24 02:00:00 AM,464.8,18.93,,,,,
24,10/09/24 02:30:00 AM,464.8,18.93,,,,,
25,10/09/24 03:00:00 AM,464.8,18.93,,,,,
26,10/09/24 03:30:00 AM,464.8,18.92,,,,,
27,10/09/24 04:00:00 AM,464.4,18.87,,,,,
28,10/09/24 04:30:00 AM,464.0,18.85,,,,,
29,10/09/24 05:00:00 AM,463.6,18.83,,,,,
30,10/09/24 05:30:00 AM,463.7,18.79,,,,,
31,10/09/24 06:00:00 AM,463.3,18.78,,,,,
32,10/09/24 06:30:00 AM,464.1,18.76,,,,,
33,10/09/24 07:00:00 AM,463.7,18.75,,,,,
