"Plot Title: Mendota Deephole 20m backup"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21506945, SEN S/N: 21506945)","Temp, °C (LGR S/N: 21506945, SEN S/N: 21506945)","Coupler Detached (LGR S/N: 21506945)","Coupler Attached (LGR S/N: 21506945)","Host Connected (LGR S/N: 21506945)","Stopped (LGR S/N: 21506945)","End Of File (LGR S/N: 21506945)"
1,10/08/24 02:00:00 PM,4.9,26.73,Logged,,,,
2,10/08/24 02:30:00 PM,486.1,11.99,,,,,
3,10/08/24 03:00:00 PM,485.7,11.99,,,,,
4,10/08/24 03:30:00 PM,485.6,12.03,,,,,
5,10/08/24 04:00:00 PM,485.2,12.02,,,,,
6,10/08/24 04:30:00 PM,485.2,12.03,,,,,
7,10/08/24 05:00:00 PM,485.6,12.07,,,,,
8,10/08/24 05:30:00 PM,484.8,12.09,,,,,
9,10/08/24 06:00:00 PM,484.8,12.14,,,,,
10,10/08/24 06:30:00 PM,484.8,12.16,,,,,
11,10/08/24 07:00:00 PM,485.5,12.23,,,,,
12,10/08/24 07:30:00 PM,484.8,12.16,,,,,
13,10/08/24 08:00:00 PM,484.8,12.11,,,,,
14,10/08/24 08:30:00 PM,485.6,12.00,,,,,
15,10/08/24 09:00:00 PM,486.5,11.93,,,,,
16,10/08/24 09:30:00 PM,486.9,11.92,,,,,
17,10/08/24 10:00:00 PM,486.0,12.00,,,,,
18,10/08/24 10:30:00 PM,485.2,12.06,,,,,
19,10/08/24 11:00:00 PM,485.2,12.02,,,,,
20,10/08/24 11:30:00 PM,486.1,11.94,,,,,
21,10/09/24 12:00:00 AM,485.2,12.02,,,,,
22,10/09/24 12:30:00 AM,486.1,11.99,,,,,
23,10/09/24 01:00:00 AM,486.1,11.97,,,,,
24,10/09/24 01:30:00 AM,486.1,11.94,,,,,
25,10/09/24 02:00:00 AM,486.1,11.97,,,,,
26,10/09/24 02:30:00 AM,486.1,11.94,,,,,
27,10/09/24 03:00:00 AM,486.1,11.93,,,,,
28,10/09/24 03:30:00 AM,486.1,11.99,,,,,
29,10/09/24 04:00:00 AM,486.1,11.97,,,,,
30,10/09/24 04:30:00 AM,483.5,12.20,,,,,
31,10/09/24 05:00:00 AM,482.7,12.31,,,,,
32,10/09/24 05:30:00 AM,483.2,12.13,,,,,
33,10/09/24 06:00:00 AM,482.6,12.35,,,,,
34,10/09/24 06:30:00 AM,483.1,12.27,,,,,
35,10/09/24 07:00:00 AM,482.7,12.26,,,,,
36,10/09/24 07:30:00 AM,482.7,12.32,,,,,
37,10/09/24 08:00:00 AM,482.3,12.32,,,,,
38,10/09/24 08:30:00 AM,482.7,12.27,,,,,
39,10/09/24 09:00:00 AM,482.7,12.20,,,,,
40,10/09/24 09:30:00 AM,483.2,12.14,,,,,
41,10/09/24 10:00:00 AM,484.8,12.07,,,,,
42,10/09/24 10:30:00 AM,486.0,12.02,,,,,
43,10/09/24 11:00:00 AM,487.3,11.97,,,,,
44,10/09/24 11:30:00 AM,486.9,11.97,,,,,
45,10/09/24 12:00:00 PM,486.5,11.97,,,,,
46,10/09/24 12:30:00 PM,484.0,12.08,,,,,
47,10/09/24 01:00:00 PM,482.8,12.13,,,,,
48,10/09/24 01:30:00 PM,486.1,11.97,,,,,
49,10/09/24 02:00:00 PM,486.1,11.94,,,,,
50,10/09/24 02:30:00 PM,486.1,11.93,,,,,
51,10/09/24 03:00:00 PM,486.5,11.90,,,,,
52,10/09/24 03:30:00 PM,486.5,11.92,,,,,
53,10/09/24 04:00:00 PM,486.1,11.95,,,,,
54,10/09/24 04:30:00 PM,484.8,12.06,,,,,
55,10/09/24 05:00:00 PM,483.1,12.18,,,,,
56,10/09/24 05:30:00 PM,483.9,12.25,,,,,
57,10/09/24 06:00:00 PM,483.5,12.23,,,,,
58,10/09/24 06:30:00 PM,483.1,12.26,,,,,
59,10/09/24 07:00:00 PM,484.0,12.16,,,,,
60,10/09/24 07:30:00 PM,483.1,12.27,,,,,
61,10/09/24 08:00:00 PM,483.1,12.28,,,,,
62,10/09/24 08:30:00 PM,482.7,12.30,,,,,
63,10/09/24 09:00:00 PM,483.1,12.22,,,,,
64,10/09/24 09:30:00 PM,484.8,12.09,,,,,
65,10/09/24 10:00:00 PM,485.6,12.02,,,,,
66,10/09/24 10:30:00 PM,485.6,12.02,,,,,
67,10/09/24 11:00:00 PM,487.3,11.94,,,,,
68,10/09/24 11:30:00 PM,483.1,12.20,,,,,
69,10/10/24 12:00:00 AM,487.7,11.97,,,,,
70,10/10/24 12:30:00 AM,484.0,12.13,,,,,
71,10/10/24 01:00:00 AM,483.9,12.18,,,,,
72,10/10/24 01:30:00 AM,484.3,12.25,,,,,
73,10/10/24 02:00:00 AM,486.9,11.97,,,,,
74,10/10/24 02:30:00 AM,486.9,11.98,,,,,
75,10/10/24 03:00:00 AM,487.3,11.98,,,,,
76,10/10/24 03:30:00 AM,484.8,12.06,,,,,
77,10/10/24 04:00:00 AM,485.2,12.06,,,,,
