"Plot Title: Mendota Deephole Bottom"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21483261, SEN S/N: 21483261)","Temp, °C (LGR S/N: 21483261, SEN S/N: 21483261)","Coupler Detached (LGR S/N: 21483261)","Coupler Attached (LGR S/N: 21483261)","Host Connected (LGR S/N: 21483261)","Stopped (LGR S/N: 21483261)","End Of File (LGR S/N: 21483261)"
1,10/08/24 02:00:00 PM,3.2,25.06,Logged,,,,
2,10/08/24 02:30:00 PM,494.0,11.84,,,,,
3,10/08/24 03:00:00 PM,492.4,11.84,,,,,
4,10/08/24 03:30:00 PM,492.0,11.86,,,,,
5,10/08/24 04:00:00 PM,493.2,11.87,,,,,
6,10/08/24 04:30:00 PM,493.2,11.88,,,,,
7,10/08/24 05:00:00 PM,492.3,11.88,,,,,
8,10/08/24 05:30:00 PM,491.5,11.90,,,,,
9,10/08/24 06:00:00 PM,491.9,11.90,,,,,
10,10/08/24 06:30:00 PM,491.5,11.87,,,,,
11,10/08/24 07:00:00 PM,491.6,11.86,,,,,
12,10/08/24 07:30:00 PM,492.0,11.84,,,,,
13,10/08/24 08:00:00 PM,491.6,11.83,,,,,
14,10/08/24 08:30:00 PM,491.6,11.82,,,,,
15,10/08/24 09:00:00 PM,492.0,11.82,,,,,
16,10/08/24 09:30:00 PM,491.6,11.82,,,,,
17,10/08/24 10:00:00 PM,493.2,11.82,,,,,
18,10/08/24 10:30:00 PM,493.2,11.81,,,,,
19,10/08/24 11:00:00 PM,491.6,11.82,,,,,
20,10/08/24 11:30:00 PM,492.0,11.83,,,,,
21,10/09/24 12:00:00 AM,492.0,11.84,,,,,
22,10/09/24 12:30:00 AM,492.8,11.84,,,,,
23,10/09/24 01:00:00 AM,493.2,11.86,,,,,
24,10/09/24 01:30:00 AM,492.0,11.87,,,,,
25,10/09/24 02:00:00 AM,491.9,11.88,,,,,
26,10/09/24 02:30:00 AM,491.5,11.90,,,,,
27,10/09/24 03:00:00 AM,491.9,11.90,,,,,
28,10/09/24 03:30:00 AM,491.9,11.92,,,,,
29,10/09/24 04:00:00 AM,491.9,11.92,,,,,
30,10/09/24 04:30:00 AM,490.7,11.93,,,,,
31,10/09/24 05:00:00 AM,490.7,11.95,,,,,
32,10/09/24 05:30:00 AM,490.7,11.96,,,,,
33,10/09/24 06:00:00 AM,489.9,11.97,,,,,
34,10/09/24 06:30:00 AM,490.3,12.00,,,,,
35,10/09/24 07:00:00 AM,490.7,11.96,,,,,
36,10/09/24 07:30:00 AM,490.7,11.93,,,,,
37,10/09/24 08:00:00 AM,491.1,11.92,,,,,
38,10/09/24 08:30:00 AM,490.7,11.88,,,,,
39,10/09/24 09:00:00 AM,491.2,11.86,,,,,
40,10/09/24 09:30:00 AM,492.0,11.83,,,,,
41,10/09/24 10:00:00 AM,491.2,11.82,,,,,
42,10/09/24 10:30:00 AM,491.2,11.82,,,,,
43,10/09/24 11:00:00 AM,492.0,11.82,,,,,
44,10/09/24 11:30:00 AM,492.0,11.81,,,,,
45,10/09/24 12:00:00 PM,492.4,11.82,,,,,
46,10/09/24 12:30:00 PM,492.4,11.82,,,,,
47,10/09/24 01:00:00 PM,492.0,11.82,,,,,
48,10/09/24 01:30:00 PM,491.6,11.83,,,,,
49,10/09/24 02:00:00 PM,492.4,11.82,,,,,
50,10/09/24 02:30:00 PM,492.0,11.82,,,,,
51,10/09/24 03:00:00 PM,492.0,11.83,,,,,
52,10/09/24 03:30:00 PM,492.4,11.86,,,,,
53,10/09/24 04:00:00 PM,492.3,11.88,,,,,
54,10/09/24 04:30:00 PM,491.1,11.92,,,,,
55,10/09/24 05:00:00 PM,490.7,11.91,,,,,
56,10/09/24 05:30:00 PM,491.1,11.91,,,,,
57,10/09/24 06:00:00 PM,491.1,11.90,,,,,
58,10/09/24 06:30:00 PM,491.1,11.90,,,,,
59,10/09/24 07:00:00 PM,491.1,11.90,,,,,
60,10/09/24 07:30:00 PM,491.1,11.90,,,,,
61,10/09/24 08:00:00 PM,492.0,11.86,,,,,
62,10/09/24 08:30:00 PM,492.4,11.86,,,,,
63,10/09/24 09:00:00 PM,491.2,11.82,,,,,
64,10/09/24 09:30:00 PM,491.2,11.83,,,,,
65,10/09/24 10:00:00 PM,491.2,11.82,,,,,
66,10/09/24 10:30:00 PM,491.6,11.81,,,,,
67,10/09/24 11:00:00 PM,492.0,11.81,,,,,
68,10/09/24 11:30:00 PM,491.2,11.82,,,,,
69,10/10/24 12:00:00 AM,492.0,11.82,,,,,
70,10/10/24 12:30:00 AM,491.6,11.83,,,,,
71,10/10/24 01:00:00 AM,492.0,11.83,,,,,
72,10/10/24 01:30:00 AM,492.0,11.83,,,,,
73,10/10/24 02:00:00 AM,492.0,11.87,,,,,
