"Plot Title: Pheasant Branch 10m"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21483260, SEN S/N: 21483260)","Temp, °C (LGR S/N: 21483260, SEN S/N: 21483260)","Coupler Detached (LGR S/N: 21483260)","Coupler Attached (LGR S/N: 21483260)","Host Connected (LGR S/N: 21483260)","Stopped (LGR S/N: 21483260)","End Of File (LGR S/N: 21483260)"
1,10/08/24 04:00:00 PM,467.7,18.56,Logged,,,,
2,10/08/24 04:30:00 PM,467.3,18.56,,,,,
3,10/08/24 05:00:00 PM,467.3,18.55,,,,,
4,10/08/24 05:30:00 PM,468.2,18.53,,,,,
5,10/08/24 06:00:00 PM,470.6,18.53,,,,,
6,10/08/24 06:30:00 PM,468.1,18.55,,,,,
7,10/08/24 07:00:00 PM,468.2,18.49,,,,,
8,10/08/24 07:30:00 PM,467.3,18.56,,,,,
9,10/08/24 08:00:00 PM,468.1,18.56,,,,,
10,10/08/24 08:30:00 PM,469.4,18.51,,,,,
11,10/08/24 09:00:00 PM,469.0,18.55,,,,,
12,10/08/24 09:30:00 PM,468.1,18.61,,,,,
13,10/08/24 10:00:00 PM,468.1,18.58,,,,,
14,10/08/24 10:30:00 PM,468.1,18.60,,,,,
15,10/08/24 11:00:00 PM,468.5,18.59,,,,,
16,10/08/24 11:30:00 PM,468.9,18.58,,,,,
17,10/09/24 12:00:00 AM,468.1,18.61,,,,,
18,10/09/24 12:30:00 AM,467.7,18.60,,,,,
19,10/09/24 01:00:00 AM,467.7,18.58,,,,,
20,10/09/24 01:30:00 AM,467.3,18.58,,,,,
21,10/09/24 02:00:00 AM,467.3,18.55,,,,,
22,10/09/24 02:30:00 AM,466.9,18.54,,,,,
23,10/09/24 03:00:00 AM,466.5,18.54,,,,,
24,10/09/24 03:30:00 AM,466.5,18.51,,,,,
25,10/09/24 04:00:00 AM,467.4,18.49,,,,,
26,10/09/24 04:30:00 AM,467.0,18.48,,,,,
27,10/09/24 05:00:00 AM,466.5,18.48,,,,,
28,10/09/24 05:30:00 AM,466.6,18.44,,,,,
29,10/09/24 06:00:00 AM,466.2,18.44,,,,,
30,10/09/24 06:30:00 AM,466.2,18.43,,,,,
31,10/09/24 07:00:00 AM,465.8,18.40,,,,,
32,10/09/24 07:30:00 AM,465.8,18.40,,,,,
33,10/09/24 08:00:00 AM,465.4,18.39,,,,,
34,10/09/24 08:30:00 AM,465.4,18.36,,,,,
35,10/09/24 09:00:00 AM,465.8,18.37,,,,,
36,10/09/24 09:30:00 AM,465.4,18.36,,,,,
37,10/09/24 10:00:00 AM,465.4,18.35,,,,,
38,10/09/24 10:30:00 AM,465.8,18.37,,,,,
39,10/09/24 11:00:00 AM,465.8,18.39,,,,,
40,10/09/24 11:30:00 AM,465.8,18.40,,,,,
41,10/09/24 12:00:00 PM,465.8,18.40,,,,,
42,10/09/24 12:30:00 PM,466.6,18.40,,,,,
43,10/09/24 01:00:00 PM,466.6,18.45,,,,,
44,10/09/24 01:30:00 PM,466.6,18.44,,,,,
45,10/09/24 02:00:00 PM,466.5,18.51,,,,,
46,10/09/24 02:30:00 PM,467.7,18.61,,,,,
47,10/09/24 03:00:00 PM,467.7,18.61,,,,,
48,10/09/24 03:30:00 PM,468.5,18.69,,,,,
49,10/09/24 04:00:00 PM,468.5,18.68,,,,,
50,10/09/24 04:30:00 PM,468.5,18.70,,,,,
51,10/09/24 05:00:00 PM,468.5,18.73,,,,,
52,10/09/24 05:30:00 PM,467.7,18.61,,,,,
53,10/09/24 06:00:00 PM,468.5,18.73,,,,,
54,10/09/24 06:30:00 PM,468.5,18.74,,,,,
55,10/09/24 07:00:00 PM,467.7,18.67,,,,,
56,10/09/24 07:30:00 PM,468.1,18.65,,,,,
57,10/09/24 08:00:00 PM,469.3,18.65,,,,,
58,10/09/24 08:30:00 PM,469.3,18.78,,,,,
59,10/09/24 09:00:00 PM,469.6,18.84,,,,,
60,10/09/24 09:30:00 PM,471.7,18.79,,,,,
61,10/09/24 10:00:00 PM,469.6,18.80,,,,,
62,10/09/24 10:30:00 PM,468.8,18.78,,,,,
63,10/09/24 11:00:00 PM,468.9,18.75,,,,,
64,10/09/24 11:30:00 PM,468.5,18.74,,,,,
65,10/10/24 12:00:00 AM,468.5,18.74,,,,,
66,10/10/24 12:30:00 AM,468.1,18.73,,,,,
67,10/10/24 01:00:00 AM,468.1,18.72,,,,,
68,10/10/24 01:30:00 AM,468.5,18.73,,,,,
69,10/10/24 02:00:00 AM,468.5,18.70,,,,,
70,10/10/24 02:30:00 AM,468.5,18.69,,,,,
71,10/10/24 03:00:00 AM,468.5,18.69,,,,,
72,10/10/24 03:30:00 AM,468.5,18.69,,,,,
73,10/10/24 04:00:00 AM,468.1,18.68,,,,,
74,10/10/24 04:30:00 AM,468.1,18.67,,,,,
75,10/10/24 05:00:00 AM,468.1,18.65,,,,,
76,10/10/24 05:30:00 AM,467.7,18.65,,,,,
77,10/10/24 06:00:00 AM,467.7,18.63,,,,,
78,10/10/24 06:30:00 AM,467.3,18.61,,,,,
79,10/10/24 07:00:00 AM,467.7,18.60,,,,,
80,10/10/24 07:30:00 AM,467.3,18.60,,,,,
81,10/10/24 08:00:00 AM,467.3,18.60,,,,,
82,10/10/24 08:30:00 AM,467.3,18.60,,,,,
83,10/10/24 09:00:00 AM,466.9,18.58,,,,,
84,10/10/24 09:30:00 AM,466.5,18.55,,,,,
85,10/10/24 10:00:00 AM,466.5,18.56,,,,,
86,10/10/24 10:30:00 AM,466.5,18.55,,,,,
87,10/10/24 11:00:00 AM,466.5,18.55,,,,,
88,10/10/24 11:30:00 AM,466.5,18.55,,,,,
89,10/10/24 12:00:00 PM,466.6,18.43,,,,,
90,10/10/24 12:30:00 PM,466.5,18.49,,,,,
91,10/10/24 01:00:00 PM,466.5,18.51,,,,,
92,10/10/24 01:30:00 PM,466.5,18.54,,,,,
93,10/10/24 02:00:00 PM,466.9,18.53,,,,,
94,10/10/24 02:30:00 PM,466.5,18.55,,,,,
95,10/10/24 03:00:00 PM,466.5,18.55,,,,,
96,10/10/24 03:30:00 PM,466.5,18.55,,,,,
97,10/10/24 04:00:00 PM,466.5,18.51,,,,,
98,10/10/24 04:30:00 PM,466.1,18.54,,,,,
99,10/10/24 05:00:00 PM,466.5,18.51,,,,,
100,10/10/24 05:30:00 PM,466.5,18.51,,,,,
101,10/10/24 06:00:00 PM,466.5,18.51,,,,,
102,10/10/24 06:30:00 PM,466.9,18.51,,,,,
103,10/10/24 07:00:00 PM,466.5,18.51,,,,,
104,10/10/24 07:30:00 PM,466.5,18.51,,,,,
105,10/10/24 08:00:00 PM,466.5,18.51,,,,,
106,10/10/24 08:30:00 PM,466.9,18.51,,,,,
107,10/10/24 09:00:00 PM,466.5,18.50,,,,,
108,10/10/24 09:30:00 PM,466.5,18.50,,,,,
109,10/10/24 10:00:00 PM,466.9,18.50,,,,,
110,10/10/24 10:30:00 PM,466.9,18.50,,,,,
111,10/10/24 11:00:00 PM,466.9,18.50,,,,,
112,10/10/24 11:30:00 PM,467.4,18.50,,,,,
113,10/11/24 12:00:00 AM,466.9,18.50,,,,,
114,10/11/24 12:30:00 AM,467.4,18.50,,,,,
115,10/11/24 01:00:00 AM,466.9,18.49,,,,,
116,10/11/24 01:30:00 AM,466.9,18.49,,,,,
117,10/11/24 02:00:00 AM,466.5,18.49,,,,,
118,10/11/24 02:30:00 AM,467.0,18.48,,,,,
119,10/11/24 03:00:00 AM,466.6,18.46,,,,,
120,10/11/24 03:30:00 AM,466.6,18.46,,,,,
121,10/11/24 04:00:00 AM,466.6,18.46,,,,,
122,10/11/24 04:30:00 AM,466.6,18.45,,,,,
123,10/11/24 05:00:00 AM,466.6,18.45,,,,,
124,10/11/24 05:30:00 AM,467.8,18.43,,,,,
125,10/11/24 06:00:00 AM,466.6,18.44,,,,,
126,10/11/24 06:30:00 AM,466.6,18.44,,,,,
127,10/11/24 07:00:00 AM,466.6,18.43,,,,,
128,10/11/24 07:30:00 AM,469.0,18.37,,,,,
129,10/11/24 08:00:00 AM,468.2,18.36,,,,,
130,10/11/24 08:30:00 AM,468.2,18.34,,,,,
131,10/11/24 09:00:00 AM,467.8,18.34,,,,,
132,10/11/24 09:30:00 AM,467.4,18.34,,,,,
133,10/11/24 10:00:00 AM,467.0,18.34,,,,,
134,10/11/24 10:30:00 AM,467.4,18.32,,,,,
135,10/11/24 11:00:00 AM,467.9,18.29,,,,,
136,10/11/24 11:30:00 AM,468.3,18.26,,,,,
137,10/11/24 12:00:00 PM,467.9,18.25,,,,,
138,10/11/24 12:30:00 PM,467.9,18.26,,,,,
139,10/11/24 01:00:00 PM,467.9,18.22,,,,,
140,10/11/24 01:30:00 PM,467.9,18.19,,,,,
141,10/11/24 02:00:00 PM,469.2,18.08,,,,,
142,10/11/24 02:30:00 PM,470.4,18.10,,,,,
143,10/11/24 03:00:00 PM,475.8,17.96,,,,,
144,10/11/24 03:30:00 PM,475.8,18.00,,,,,
145,10/11/24 04:00:00 PM,477.9,17.78,,,,,
146,10/11/24 04:30:00 PM,478.8,17.67,,,,,
147,10/11/24 05:00:00 PM,479.3,17.55,,,,,
148,10/11/24 05:30:00 PM,478.4,17.60,,,,,
149,10/11/24 06:00:00 PM,476.8,17.59,,,,,
150,10/11/24 06:30:00 PM,475.5,17.68,,,,,
151,10/11/24 07:00:00 PM,476.8,17.60,,,,,
152,10/11/24 07:30:00 PM,476.8,17.58,,,,,
153,10/11/24 08:00:00 PM,476.0,17.58,,,,,
154,10/11/24 08:30:00 PM,475.9,17.65,,,,,
155,10/11/24 09:00:00 PM,473.5,17.70,,,,,
156,10/11/24 09:30:00 PM,473.4,17.76,,,,,
157,10/11/24 10:00:00 PM,468.9,17.95,,,,,
158,10/11/24 10:30:00 PM,468.0,17.98,,,,,
159,10/11/24 11:00:00 PM,468.0,17.96,,,,,
160,10/11/24 11:30:00 PM,468.4,18.00,,,,,
161,10/12/24 12:00:00 AM,468.4,18.02,,,,,
162,10/12/24 12:30:00 AM,468.0,18.02,,,,,
163,10/12/24 01:00:00 AM,468.0,18.02,,,,,
164,10/12/24 01:30:00 AM,467.6,18.07,,,,,
165,10/12/24 02:00:00 AM,467.6,18.06,,,,,
166,10/12/24 02:30:00 AM,467.4,18.31,,,,,
167,10/12/24 03:00:00 AM,467.0,18.30,,,,,
168,10/12/24 03:30:00 AM,466.6,18.35,,,,,
169,10/12/24 04:00:00 AM,467.0,18.32,,,,,
170,10/12/24 04:30:00 AM,467.0,18.34,,,,,
171,10/12/24 05:00:00 AM,467.0,18.32,,,,,
172,10/12/24 05:30:00 AM,466.6,18.31,,,,,
173,10/12/24 06:00:00 AM,466.6,18.32,,,,,
174,10/12/24 06:30:00 AM,467.0,18.32,,,,,
175,10/12/24 07:00:00 AM,467.4,18.31,,,,,
176,10/12/24 07:30:00 AM,466.7,18.16,,,,,
177,10/12/24 08:00:00 AM,466.7,18.07,,,,,
178,10/12/24 08:30:00 AM,466.3,18.12,,,,,
179,10/12/24 09:00:00 AM,465.8,18.25,,,,,
180,10/12/24 09:30:00 AM,465.9,18.22,,,,,
181,10/12/24 10:00:00 AM,466.3,18.24,,,,,
182,10/12/24 10:30:00 AM,466.3,18.24,,,,,
183,10/12/24 11:00:00 AM,466.6,18.27,,,,,
184,10/12/24 11:30:00 AM,466.2,18.26,,,,,
185,10/12/24 12:00:00 PM,466.3,18.25,,,,,
186,10/12/24 12:30:00 PM,466.2,18.26,,,,,
187,10/12/24 01:00:00 PM,465.9,18.22,,,,,
188,10/12/24 01:30:00 PM,465.5,18.21,,,,,
189,10/12/24 02:00:00 PM,466.3,18.24,,,,,
190,10/12/24 02:30:00 PM,466.6,18.31,,,,,
191,10/12/24 03:00:00 PM,466.6,18.31,,,,,
192,10/12/24 03:30:00 PM,466.6,18.29,,,,,
193,10/12/24 04:00:00 PM,466.6,18.30,,,,,
194,10/12/24 04:30:00 PM,466.6,18.29,,,,,
195,10/12/24 05:00:00 PM,466.6,18.30,,,,,
196,10/12/24 05:30:00 PM,466.2,18.27,,,,,
197,10/12/24 06:00:00 PM,466.2,18.26,,,,,
198,10/12/24 06:30:00 PM,466.7,18.26,,,,,
199,10/12/24 07:00:00 PM,466.3,18.24,,,,,
200,10/12/24 07:30:00 PM,465.9,18.21,,,,,
201,10/12/24 08:00:00 PM,465.9,18.20,,,,,
202,10/12/24 08:30:00 PM,465.9,18.22,,,,,
203,10/12/24 09:00:00 PM,464.7,18.16,,,,,
204,10/12/24 09:30:00 PM,463.9,18.10,,,,,
205,10/12/24 10:00:00 PM,464.7,18.02,,,,,
206,10/12/24 10:30:00 PM,464.3,18.07,,,,,
207,10/12/24 11:00:00 PM,463.9,18.06,,,,,
208,10/12/24 11:30:00 PM,463.9,18.03,,,,,
209,10/13/24 12:00:00 AM,463.9,18.07,,,,,
210,10/13/24 12:30:00 AM,464.3,18.07,,,,,
211,10/13/24 01:00:00 AM,464.7,18.08,,,,,
212,10/13/24 01:30:00 AM,464.3,18.06,,,,,
213,10/13/24 02:00:00 AM,463.9,18.05,,,,,
214,10/13/24 02:30:00 AM,463.9,18.02,,,,,
215,10/13/24 03:00:00 AM,463.9,18.02,,,,,
216,10/13/24 03:30:00 AM,464.3,18.03,,,,,
217,10/13/24 04:00:00 AM,463.9,18.00,,,,,
218,10/13/24 04:30:00 AM,463.9,18.00,,,,,
219,10/13/24 05:00:00 AM,463.9,18.00,,,,,
220,10/13/24 05:30:00 AM,464.4,17.93,,,,,
221,10/13/24 06:00:00 AM,464.4,17.96,,,,,
222,10/13/24 06:30:00 AM,463.9,17.96,,,,,
223,10/13/24 07:00:00 AM,463.9,17.96,,,,,
224,10/13/24 07:30:00 AM,464.4,17.93,,,,,
225,10/13/24 08:00:00 AM,464.0,17.93,,,,,
226,10/13/24 08:30:00 AM,464.0,17.95,,,,,
227,10/13/24 09:00:00 AM,464.0,17.93,,,,,
228,10/13/24 09:30:00 AM,464.4,17.91,,,,,
229,10/13/24 10:00:00 AM,467.2,17.91,,,,,
230,10/13/24 10:30:00 AM,464.0,17.89,,,,,
231,10/13/24 11:00:00 AM,464.0,17.89,,,,,
232,10/13/24 11:30:00 AM,464.4,17.91,,,,,
233,10/13/24 12:00:00 PM,467.7,17.89,,,,,
234,10/13/24 12:30:00 PM,464.0,17.92,,,,,
235,10/13/24 01:00:00 PM,465.6,17.87,,,,,
236,10/13/24 01:30:00 PM,464.0,17.89,,,,,
237,10/13/24 02:00:00 PM,464.4,17.89,,,,,
238,10/13/24 02:30:00 PM,463.6,17.88,,,,,
239,10/13/24 03:00:00 PM,464.8,17.83,,,,,
240,10/13/24 03:30:00 PM,464.0,17.86,,,,,
241,10/13/24 04:00:00 PM,466.5,17.68,,,,,
242,10/13/24 04:30:00 PM,471.3,17.17,,,,,
243,10/13/24 05:00:00 PM,492.2,14.67,,,,,
244,10/13/24 05:30:00 PM,491.3,14.12,,,,,
245,10/13/24 06:00:00 PM,489.9,13.70,,,,,
246,10/13/24 06:30:00 PM,489.5,13.64,,,,,
247,10/13/24 07:00:00 PM,490.2,13.80,,,,,
248,10/13/24 07:30:00 PM,489.8,13.74,,,,,
249,10/13/24 08:00:00 PM,489.9,13.71,,,,,
250,10/13/24 08:30:00 PM,489.5,13.70,,,,,
251,10/13/24 09:00:00 PM,489.4,13.88,,,,,
252,10/13/24 09:30:00 PM,486.8,14.14,,,,,
253,10/13/24 10:00:00 PM,486.5,13.81,,,,,
254,10/13/24 10:30:00 PM,487.1,13.46,,,,,
255,10/13/24 11:00:00 PM,488.1,13.23,,,,,
256,10/13/24 11:30:00 PM,488.0,13.32,,,,,
257,10/14/24 12:00:00 AM,488.0,13.26,,,,,
258,10/14/24 12:30:00 AM,488.4,13.43,,,,,
259,10/14/24 01:00:00 AM,486.9,13.79,,,,,
260,10/14/24 01:30:00 AM,489.2,14.20,,,,,
261,10/14/24 02:00:00 AM,482.6,15.01,,,,,
262,10/14/24 02:30:00 AM,476.0,15.89,,,,,
263,10/14/24 03:00:00 AM,466.2,16.68,,,,,
264,10/14/24 03:30:00 AM,462.4,16.92,,,,,
265,10/14/24 04:00:00 AM,472.0,16.47,,,,,
266,10/14/24 04:30:00 AM,472.8,16.52,,,,,
267,10/14/24 05:00:00 AM,469.5,16.63,,,,,
268,10/14/24 05:30:00 AM,470.7,16.67,,,,,
269,10/14/24 06:00:00 AM,465.8,16.69,,,,,
270,10/14/24 06:30:00 AM,464.2,16.69,,,,,
271,10/14/24 07:00:00 AM,463.3,16.72,,,,,
272,10/14/24 07:30:00 AM,463.3,16.73,,,,,
