"Plot Title: starkweather 4m replacement"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21506939, SEN S/N: 21506939)","Temp, °C (LGR S/N: 21506939, SEN S/N: 21506939)","Coupler Detached (LGR S/N: 21506939)","Coupler Attached (LGR S/N: 21506939)","Host Connected (LGR S/N: 21506939)","Stopped (LGR S/N: 21506939)","End Of File (LGR S/N: 21506939)"
1,10/16/24 01:00:00 PM,478.1,15.60,Logged,,,,
2,10/16/24 01:30:00 PM,477.7,15.56,,,,,
3,10/16/24 02:00:00 PM,477.3,15.56,,,,,
4,10/16/24 02:30:00 PM,477.7,15.55,,,,,
5,10/16/24 03:00:00 PM,477.7,15.55,,,,,
6,10/16/24 03:30:00 PM,478.1,15.55,,,,,
7,10/16/24 04:00:00 PM,477.7,15.55,,,,,
8,10/16/24 04:30:00 PM,477.7,15.56,,,,,
9,10/16/24 05:00:00 PM,477.7,15.59,,,,,
10,10/16/24 05:30:00 PM,478.5,15.63,,,,,
11,10/16/24 06:00:00 PM,478.5,15.65,,,,,
12,10/16/24 06:30:00 PM,478.9,15.69,,,,,
13,10/16/24 07:00:00 PM,478.0,15.70,,,,,
14,10/16/24 07:30:00 PM,478.5,15.68,,,,,
15,10/16/24 08:00:00 PM,478.1,15.68,,,,,
16,10/16/24 08:30:00 PM,478.1,15.66,,,,,
17,10/16/24 09:00:00 PM,477.7,15.64,,,,,
18,10/16/24 09:30:00 PM,477.7,15.64,,,,,
19,10/16/24 10:00:00 PM,477.3,15.61,,,,,
20,10/16/24 10:30:00 PM,477.3,15.57,,,,,
21,10/16/24 11:00:00 PM,476.9,15.53,,,,,
22,10/16/24 11:30:00 PM,476.9,15.52,,,,,
23,10/17/24 12:00:00 AM,476.6,15.49,,,,,
24,10/17/24 12:30:00 AM,476.6,15.47,,,,,
25,10/17/24 01:00:00 AM,476.2,15.46,,,,,
26,10/17/24 01:30:00 AM,476.2,15.44,,,,,
27,10/17/24 02:00:00 AM,476.6,15.42,,,,,
28,10/17/24 02:30:00 AM,477.4,15.39,,,,,
29,10/17/24 03:00:00 AM,477.0,15.39,,,,,
30,10/17/24 03:30:00 AM,477.0,15.36,,,,,
31,10/17/24 04:00:00 AM,476.6,15.35,,,,,
32,10/17/24 04:30:00 AM,477.4,15.34,,,,,
33,10/17/24 05:00:00 AM,477.8,15.31,,,,,
34,10/17/24 05:30:00 AM,476.6,15.31,,,,,
35,10/17/24 06:00:00 AM,476.3,15.27,,,,,
36,10/17/24 06:30:00 AM,476.3,15.26,,,,,
37,10/17/24 07:00:00 AM,475.9,15.25,,,,,
38,10/17/24 07:30:00 AM,475.9,15.22,,,,,
39,10/17/24 08:00:00 AM,475.1,15.21,,,,,
40,10/17/24 08:30:00 AM,475.1,15.19,,,,,
41,10/17/24 09:00:00 AM,475.5,15.21,,,,,
42,10/17/24 09:30:00 AM,475.1,15.19,,,,,
43,10/17/24 10:00:00 AM,475.1,15.22,,,,,
44,10/17/24 10:30:00 AM,475.9,15.23,,,,,
45,10/17/24 11:00:00 AM,474.3,15.18,,,,,
46,10/17/24 11:30:00 AM,474.3,15.19,,,,,
47,10/17/24 12:00:00 PM,474.7,15.23,,,,,
48,10/17/24 12:30:00 PM,473.9,15.17,,,,,
49,10/17/24 01:00:00 PM,473.9,15.17,,,,,
50,10/17/24 01:30:00 PM,473.1,15.15,,,,,
51,10/17/24 02:00:00 PM,473.1,15.18,,,,,
52,10/17/24 02:30:00 PM,473.1,15.21,,,,,
53,10/17/24 03:00:00 PM,473.1,15.22,,,,,
54,10/17/24 03:30:00 PM,473.1,15.25,,,,,
55,10/17/24 04:00:00 PM,473.1,15.26,,,,,
56,10/17/24 04:30:00 PM,473.1,15.23,,,,,
57,10/17/24 05:00:00 PM,473.1,15.25,,,,,
