"Plot Title: Starkweather 6m replacement"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21506926, SEN S/N: 21506926)","Temp, °C (LGR S/N: 21506926, SEN S/N: 21506926)","Coupler Detached (LGR S/N: 21506926)","Coupler Attached (LGR S/N: 21506926)","Host Connected (LGR S/N: 21506926)","Stopped (LGR S/N: 21506926)","End Of File (LGR S/N: 21506926)"
1,10/16/24 01:00:00 PM,486.0,15.56,Logged,,,,
2,10/16/24 01:30:00 PM,486.0,15.53,,,,,
3,10/16/24 02:00:00 PM,487.7,15.41,,,,,
4,10/16/24 02:30:00 PM,485.2,15.39,,,,,
5,10/16/24 03:00:00 PM,485.6,15.44,,,,,
6,10/16/24 03:30:00 PM,485.6,15.48,,,,,
7,10/16/24 04:00:00 PM,487.2,15.49,,,,,
8,10/16/24 04:30:00 PM,487.2,15.49,,,,,
9,10/16/24 05:00:00 PM,487.2,15.50,,,,,
10,10/16/24 05:30:00 PM,487.2,15.53,,,,,
11,10/16/24 06:00:00 PM,487.2,15.59,,,,,
12,10/16/24 06:30:00 PM,487.1,15.64,,,,,
13,10/16/24 07:00:00 PM,487.1,15.69,,,,,
14,10/16/24 07:30:00 PM,487.1,15.65,,,,,
15,10/16/24 08:00:00 PM,486.7,15.65,,,,,
16,10/16/24 08:30:00 PM,486.3,15.66,,,,,
17,10/16/24 09:00:00 PM,486.7,15.63,,,,,
18,10/16/24 09:30:00 PM,486.3,15.63,,,,,
19,10/16/24 10:00:00 PM,486.3,15.60,,,,,
20,10/16/24 10:30:00 PM,486.4,15.56,,,,,
21,10/16/24 11:00:00 PM,485.6,15.54,,,,,
22,10/16/24 11:30:00 PM,485.6,15.51,,,,,
23,10/17/24 12:00:00 AM,485.6,15.49,,,,,
24,10/17/24 12:30:00 AM,485.6,15.46,,,,,
25,10/17/24 01:00:00 AM,486.0,15.45,,,,,
26,10/17/24 01:30:00 AM,485.2,15.44,,,,,
27,10/17/24 02:00:00 AM,485.6,15.41,,,,,
28,10/17/24 02:30:00 AM,486.5,15.39,,,,,
29,10/17/24 03:00:00 AM,486.5,15.39,,,,,
30,10/17/24 03:30:00 AM,486.1,15.37,,,,,
31,10/17/24 04:00:00 AM,486.5,15.35,,,,,
32,10/17/24 04:30:00 AM,486.1,15.34,,,,,
33,10/17/24 05:00:00 AM,486.9,15.31,,,,,
34,10/17/24 05:30:00 AM,485.7,15.31,,,,,
35,10/17/24 06:00:00 AM,484.9,15.29,,,,,
36,10/17/24 06:30:00 AM,485.3,15.26,,,,,
37,10/17/24 07:00:00 AM,484.5,15.26,,,,,
38,10/17/24 07:30:00 AM,484.1,15.22,,,,,
39,10/17/24 08:00:00 AM,484.5,15.20,,,,,
40,10/17/24 08:30:00 AM,484.1,15.19,,,,,
41,10/17/24 09:00:00 AM,483.3,15.17,,,,,
42,10/17/24 09:30:00 AM,483.3,15.12,,,,,
43,10/17/24 10:00:00 AM,482.5,15.15,,,,,
44,10/17/24 10:30:00 AM,481.3,15.06,,,,,
45,10/17/24 11:00:00 AM,482.1,15.09,,,,,
46,10/17/24 11:30:00 AM,482.1,15.07,,,,,
47,10/17/24 12:00:00 PM,482.1,15.12,,,,,
48,10/17/24 12:30:00 PM,482.5,15.06,,,,,
49,10/17/24 01:00:00 PM,482.1,15.11,,,,,
50,10/17/24 01:30:00 PM,481.3,15.09,,,,,
51,10/17/24 02:00:00 PM,481.7,15.12,,,,,
52,10/17/24 02:30:00 PM,481.3,15.10,,,,,
53,10/17/24 03:00:00 PM,481.3,15.11,,,,,
54,10/17/24 03:30:00 PM,481.2,15.17,,,,,
55,10/17/24 04:00:00 PM,481.6,15.25,,,,,
56,10/17/24 04:30:00 PM,482.5,15.19,,,,,
57,10/17/24 05:00:00 PM,482.0,15.24,,,,,
58,10/17/24 05:30:00 PM,481.6,15.20,,,,,
59,10/17/24 06:00:00 PM,481.6,15.22,,,,,
60,10/17/24 06:30:00 PM,482.4,15.25,,,,,
61,10/17/24 07:00:00 PM,483.2,15.24,,,,,
62,10/17/24 07:30:00 PM,482.8,15.25,,,,,
63,10/17/24 08:00:00 PM,482.0,15.26,,,,,
64,10/17/24 08:30:00 PM,481.2,15.29,,,,,
65,10/17/24 09:00:00 PM,481.2,15.27,,,,,
66,10/17/24 09:30:00 PM,481.6,15.26,,,,,
67,10/17/24 10:00:00 PM,481.6,15.17,,,,,
68,10/17/24 10:30:00 PM,481.2,15.16,,,,,
69,10/17/24 11:00:00 PM,481.2,15.17,,,,,
70,10/17/24 11:30:00 PM,481.2,15.19,,,,,
71,10/18/24 12:00:00 AM,481.2,15.14,,,,,
72,10/18/24 12:30:00 AM,481.2,15.16,,,,,
73,10/18/24 01:00:00 AM,481.2,15.14,,,,,
74,10/18/24 01:30:00 AM,481.3,15.12,,,,,
75,10/18/24 02:00:00 AM,481.3,15.10,,,,,
76,10/18/24 02:30:00 AM,480.9,15.09,,,,,
77,10/18/24 03:00:00 AM,480.1,15.02,,,,,
78,10/18/24 03:30:00 AM,479.7,14.97,,,,,
79,10/18/24 04:00:00 AM,479.3,14.92,,,,,
80,10/18/24 04:30:00 AM,478.5,14.95,,,,,
81,10/18/24 05:00:00 AM,479.3,14.94,,,,,
82,10/18/24 05:30:00 AM,478.9,14.92,,,,,
83,10/18/24 06:00:00 AM,478.9,14.89,,,,,
84,10/18/24 06:30:00 AM,478.1,14.91,,,,,
85,10/18/24 07:00:00 AM,477.7,14.86,,,,,
86,10/18/24 07:30:00 AM,477.3,14.82,,,,,
87,10/18/24 08:00:00 AM,477.7,14.86,,,,,
88,10/18/24 08:30:00 AM,477.3,14.85,,,,,
89,10/18/24 09:00:00 AM,477.3,14.84,,,,,
90,10/18/24 09:30:00 AM,478.1,14.85,,,,,
91,10/18/24 10:00:00 AM,477.3,14.85,,,,,
92,10/18/24 10:30:00 AM,477.3,14.84,,,,,
93,10/18/24 11:00:00 AM,478.1,14.91,,,,,
94,10/18/24 11:30:00 AM,478.9,14.97,,,,,
95,10/18/24 12:00:00 PM,478.9,14.95,,,,,
96,10/18/24 12:30:00 PM,479.3,14.97,,,,,
97,10/18/24 01:00:00 PM,480.4,15.10,,,,,
98,10/18/24 01:30:00 PM,480.8,15.11,,,,,
99,10/18/24 02:00:00 PM,480.8,15.16,,,,,
100,10/18/24 02:30:00 PM,481.6,15.22,,,,,
101,10/18/24 03:00:00 PM,482.4,15.27,,,,,
102,10/18/24 03:30:00 PM,482.8,15.30,,,,,
103,10/18/24 04:00:00 PM,483.6,15.27,,,,,
104,10/18/24 04:30:00 PM,484.0,15.30,,,,,
105,10/18/24 05:00:00 PM,484.4,15.31,,,,,
106,10/18/24 05:30:00 PM,484.4,15.32,,,,,
107,10/18/24 06:00:00 PM,483.6,15.31,,,,,
108,10/18/24 06:30:00 PM,483.2,15.31,,,,,
109,10/18/24 07:00:00 PM,483.6,15.32,,,,,
110,10/18/24 07:30:00 PM,483.2,15.30,,,,,
111,10/18/24 08:00:00 PM,482.8,15.29,,,,,
112,10/18/24 08:30:00 PM,482.8,15.27,,,,,
113,10/18/24 09:00:00 PM,483.2,15.27,,,,,
114,10/18/24 09:30:00 PM,482.4,15.24,,,,,
115,10/18/24 10:00:00 PM,482.4,15.22,,,,,
116,10/18/24 10:30:00 PM,482.0,15.22,,,,,
117,10/18/24 11:00:00 PM,482.0,15.20,,,,,
118,10/18/24 11:30:00 PM,482.0,15.19,,,,,
119,10/19/24 12:00:00 AM,482.0,15.17,,,,,
120,10/19/24 12:30:00 AM,481.6,15.16,,,,,
121,10/19/24 01:00:00 AM,481.7,15.15,,,,,
122,10/19/24 01:30:00 AM,481.6,15.16,,,,,
123,10/19/24 02:00:00 AM,481.7,15.14,,,,,
124,10/19/24 02:30:00 AM,481.7,15.12,,,,,
125,10/19/24 03:00:00 AM,481.3,15.12,,,,,
126,10/19/24 03:30:00 AM,482.1,15.14,,,,,
127,10/19/24 04:00:00 AM,480.9,15.09,,,,,
128,10/19/24 04:30:00 AM,481.3,15.09,,,,,
129,10/19/24 05:00:00 AM,481.7,15.11,,,,,
130,10/19/24 05:30:00 AM,481.3,15.09,,,,,
131,10/19/24 06:00:00 AM,481.3,15.09,,,,,
132,10/19/24 06:30:00 AM,481.7,15.07,,,,,
133,10/19/24 07:00:00 AM,480.9,15.04,,,,,
134,10/19/24 07:30:00 AM,480.5,15.04,,,,,
135,10/19/24 08:00:00 AM,480.9,15.04,,,,,
136,10/19/24 08:30:00 AM,480.5,15.00,,,,,
137,10/19/24 09:00:00 AM,480.5,15.00,,,,,
138,10/19/24 09:30:00 AM,481.3,15.00,,,,,
139,10/19/24 10:00:00 AM,480.9,14.99,,,,,
140,10/19/24 10:30:00 AM,480.5,14.97,,,,,
141,10/19/24 11:00:00 AM,481.3,15.01,,,,,
142,10/19/24 11:30:00 AM,481.7,15.02,,,,,
143,10/19/24 12:00:00 PM,482.5,15.02,,,,,
144,10/19/24 12:30:00 PM,483.4,15.00,,,,,
145,10/19/24 01:00:00 PM,484.2,15.01,,,,,
146,10/19/24 01:30:00 PM,482.1,15.01,,,,,
147,10/19/24 02:00:00 PM,482.5,15.04,,,,,
148,10/19/24 02:30:00 PM,481.3,15.00,,,,,
149,10/19/24 03:00:00 PM,480.5,14.97,,,,,
150,10/19/24 03:30:00 PM,483.3,15.21,,,,,
151,10/19/24 04:00:00 PM,484.4,15.37,,,,,
152,10/19/24 04:30:00 PM,484.8,15.41,,,,,
153,10/19/24 05:00:00 PM,484.8,15.44,,,,,
154,10/19/24 05:30:00 PM,485.2,15.44,,,,,
155,10/19/24 06:00:00 PM,485.2,15.44,,,,,
156,10/19/24 06:30:00 PM,485.2,15.43,,,,,
157,10/19/24 07:00:00 PM,484.8,15.43,,,,,
158,10/19/24 07:30:00 PM,484.8,15.41,,,,,
159,10/19/24 08:00:00 PM,484.8,15.41,,,,,
160,10/19/24 08:30:00 PM,484.8,15.40,,,,,
161,10/19/24 09:00:00 PM,484.8,15.39,,,,,
162,10/19/24 09:30:00 PM,484.8,15.37,,,,,
163,10/19/24 10:00:00 PM,484.0,15.35,,,,,
164,10/19/24 10:30:00 PM,484.4,15.35,,,,,
165,10/19/24 11:00:00 PM,484.0,15.34,,,,,
166,10/19/24 11:30:00 PM,484.4,15.32,,,,,
167,10/20/24 12:00:00 AM,484.0,15.34,,,,,
168,10/20/24 12:30:00 AM,484.0,15.31,,,,,
169,10/20/24 01:00:00 AM,484.4,15.30,,,,,
170,10/20/24 01:30:00 AM,484.0,15.31,,,,,
171,10/20/24 02:00:00 AM,484.0,15.30,,,,,
172,10/20/24 02:30:00 AM,483.6,15.27,,,,,
173,10/20/24 03:00:00 AM,483.6,15.27,,,,,
174,10/20/24 03:30:00 AM,483.7,15.25,,,,,
175,10/20/24 04:00:00 AM,483.7,15.24,,,,,
176,10/20/24 04:30:00 AM,483.7,15.24,,,,,
177,10/20/24 05:00:00 AM,483.2,15.24,,,,,
178,10/20/24 05:30:00 AM,482.8,15.22,,,,,
179,10/20/24 06:00:00 AM,482.9,15.21,,,,,
180,10/20/24 06:30:00 AM,482.4,15.21,,,,,
181,10/20/24 07:00:00 AM,482.4,15.20,,,,,
182,10/20/24 07:30:00 AM,482.4,15.20,,,,,
183,10/20/24 08:00:00 AM,482.5,15.19,,,,,
184,10/20/24 08:30:00 AM,482.4,15.20,,,,,
185,10/20/24 09:00:00 AM,482.4,15.20,,,,,
186,10/20/24 09:30:00 AM,482.4,15.20,,,,,
187,10/20/24 10:00:00 AM,482.4,15.21,,,,,
188,10/20/24 10:30:00 AM,482.4,15.21,,,,,
189,10/20/24 11:00:00 AM,482.4,15.20,,,,,
190,10/20/24 11:30:00 AM,482.4,15.21,,,,,
191,10/20/24 12:00:00 PM,482.5,15.17,,,,,
192,10/20/24 12:30:00 PM,483.3,15.16,,,,,
193,10/20/24 01:00:00 PM,488.6,15.16,,,,,
194,10/20/24 01:30:00 PM,482.5,15.17,,,,,
195,10/20/24 02:00:00 PM,482.4,15.20,,,,,
196,10/20/24 02:30:00 PM,483.2,15.30,,,,,
197,10/20/24 03:00:00 PM,485.6,15.46,,,,,
198,10/20/24 03:30:00 PM,486.0,15.54,,,,,
199,10/20/24 04:00:00 PM,486.8,15.56,,,,,
200,10/20/24 04:30:00 PM,486.8,15.61,,,,,
201,10/20/24 05:00:00 PM,487.1,15.65,,,,,
202,10/20/24 05:30:00 PM,487.5,15.69,,,,,
203,10/20/24 06:00:00 PM,487.9,15.70,,,,,
204,10/20/24 06:30:00 PM,486.7,15.64,,,,,
205,10/20/24 07:00:00 PM,486.8,15.61,,,,,
206,10/20/24 07:30:00 PM,486.8,15.60,,,,,
207,10/20/24 08:00:00 PM,486.4,15.56,,,,,
208,10/20/24 08:30:00 PM,486.4,15.56,,,,,
209,10/20/24 09:00:00 PM,486.4,15.54,,,,,
210,10/20/24 09:30:00 PM,486.4,15.54,,,,,
211,10/20/24 10:00:00 PM,486.0,15.53,,,,,
212,10/20/24 10:30:00 PM,486.0,15.49,,,,,
213,10/20/24 11:00:00 PM,485.6,15.48,,,,,
214,10/20/24 11:30:00 PM,485.6,15.44,,,,,
215,10/21/24 12:00:00 AM,484.8,15.43,,,,,
216,10/21/24 12:30:00 AM,485.6,15.45,,,,,
217,10/21/24 01:00:00 AM,484.8,15.43,,,,,
218,10/21/24 01:30:00 AM,485.6,15.45,,,,,
219,10/21/24 02:00:00 AM,485.6,15.49,,,,,
220,10/21/24 02:30:00 AM,485.6,15.44,,,,,
221,10/21/24 03:00:00 AM,485.6,15.43,,,,,
222,10/21/24 03:30:00 AM,485.2,15.43,,,,,
223,10/21/24 04:00:00 AM,485.2,15.36,,,,,
224,10/21/24 04:30:00 AM,484.0,15.29,,,,,
225,10/21/24 05:00:00 AM,484.5,15.29,,,,,
226,10/21/24 05:30:00 AM,484.5,15.27,,,,,
227,10/21/24 06:00:00 AM,484.0,15.30,,,,,
228,10/21/24 06:30:00 AM,484.0,15.29,,,,,
229,10/21/24 07:00:00 AM,484.5,15.27,,,,,
230,10/21/24 07:30:00 AM,484.0,15.29,,,,,
231,10/21/24 08:00:00 AM,483.6,15.27,,,,,
232,10/21/24 08:30:00 AM,483.6,15.26,,,,,
233,10/21/24 09:00:00 AM,483.6,15.26,,,,,
234,10/21/24 09:30:00 AM,483.7,15.22,,,,,
235,10/21/24 10:00:00 AM,483.3,15.21,,,,,
236,10/21/24 10:30:00 AM,483.3,15.21,,,,,
237,10/21/24 11:00:00 AM,483.3,15.22,,,,,
238,10/21/24 11:30:00 AM,483.7,15.24,,,,,
239,10/21/24 12:00:00 PM,483.2,15.24,,,,,
240,10/21/24 12:30:00 PM,483.7,15.25,,,,,
241,10/21/24 01:00:00 PM,483.7,15.24,,,,,
