"Plot Title: Starkweather Bottom"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21506940, SEN S/N: 21506940)","Temp, °C (LGR S/N: 21506940, SEN S/N: 21506940)","Coupler Detached (LGR S/N: 21506940)","Coupler Attached (LGR S/N: 21506940)","Host Connected (LGR S/N: 21506940)","Stopped (LGR S/N: 21506940)","End Of File (LGR S/N: 21506940)"
1,10/16/24 01:00:00 PM,474.8,15.56,Logged,,,,
2,10/16/24 01:30:00 PM,475.2,15.46,,,,,
3,10/16/24 02:00:00 PM,476.4,15.52,,,,,
4,10/16/24 02:30:00 PM,472.5,15.43,,,,,
5,10/16/24 03:00:00 PM,472.5,15.39,,,,,
6,10/16/24 03:30:00 PM,472.5,15.39,,,,,
7,10/16/24 04:00:00 PM,472.5,15.38,,,,,
8,10/16/24 04:30:00 PM,472.1,15.38,,,,,
9,10/16/24 05:00:00 PM,472.5,15.40,,,,,
10,10/16/24 05:30:00 PM,473.3,15.48,,,,,
11,10/16/24 06:00:00 PM,473.2,15.51,,,,,
12,10/16/24 06:30:00 PM,473.2,15.51,,,,,
13,10/16/24 07:00:00 PM,474.0,15.55,,,,,
14,10/16/24 07:30:00 PM,475.2,15.56,,,,,
15,10/16/24 08:00:00 PM,475.6,15.60,,,,,
16,10/16/24 08:30:00 PM,479.1,15.60,,,,,
17,10/16/24 09:00:00 PM,483.5,15.60,,,,,
18,10/16/24 09:30:00 PM,476.3,15.70,,,,,
19,10/16/24 10:00:00 PM,480.7,15.68,,,,,
20,10/16/24 10:30:00 PM,478.3,15.68,,,,,
21,10/16/24 11:00:00 PM,474.3,15.70,,,,,
22,10/16/24 11:30:00 PM,475.5,15.67,,,,,
23,10/17/24 12:00:00 AM,474.8,15.64,,,,,
24,10/17/24 12:30:00 AM,476.4,15.60,,,,,
25,10/17/24 01:00:00 AM,476.0,15.60,,,,,
26,10/17/24 01:30:00 AM,474.0,15.59,,,,,
27,10/17/24 02:00:00 AM,476.0,15.56,,,,,
28,10/17/24 02:30:00 AM,478.4,15.55,,,,,
29,10/17/24 03:00:00 AM,476.4,15.54,,,,,
30,10/17/24 03:30:00 AM,477.6,15.54,,,,,
31,10/17/24 04:00:00 AM,478.4,15.51,,,,,
32,10/17/24 04:30:00 AM,476.8,15.48,,,,,
33,10/17/24 05:00:00 AM,484.0,15.44,,,,,
34,10/17/24 05:30:00 AM,475.6,15.46,,,,,
35,10/17/24 06:00:00 AM,474.5,15.43,,,,,
36,10/17/24 06:30:00 AM,476.1,15.39,,,,,
37,10/17/24 07:00:00 AM,476.1,15.38,,,,,
38,10/17/24 07:30:00 AM,482.1,15.29,,,,,
39,10/17/24 08:00:00 AM,482.5,15.19,,,,,
40,10/17/24 08:30:00 AM,481.0,15.11,,,,,
41,10/17/24 09:00:00 AM,479.8,14.99,,,,,
42,10/17/24 09:30:00 AM,477.1,14.90,,,,,
43,10/17/24 10:00:00 AM,473.9,14.89,,,,,
44,10/17/24 10:30:00 AM,473.2,14.82,,,,,
45,10/17/24 11:00:00 AM,471.2,14.84,,,,,
46,10/17/24 11:30:00 AM,468.8,14.85,,,,,
47,10/17/24 12:00:00 PM,469.6,14.86,,,,,
48,10/17/24 12:30:00 PM,474.4,14.86,,,,,
49,10/17/24 01:00:00 PM,473.1,15.01,,,,,
50,10/17/24 01:30:00 PM,473.1,15.02,,,,,
51,10/17/24 02:00:00 PM,474.7,14.99,,,,,
52,10/17/24 02:30:00 PM,478.7,14.89,,,,,
53,10/17/24 03:00:00 PM,476.3,14.99,,,,,
54,10/17/24 03:30:00 PM,477.0,15.02,,,,,
55,10/17/24 04:00:00 PM,477.4,15.06,,,,,
56,10/17/24 04:30:00 PM,476.2,15.14,,,,,
57,10/17/24 05:00:00 PM,477.8,15.11,,,,,
58,10/17/24 05:30:00 PM,473.0,15.22,,,,,
59,10/17/24 06:00:00 PM,473.8,15.22,,,,,
60,10/17/24 06:30:00 PM,472.1,15.33,,,,,
61,10/17/24 07:00:00 PM,474.1,15.34,,,,,
62,10/17/24 07:30:00 PM,474.5,15.33,,,,,
63,10/17/24 08:00:00 PM,473.3,15.34,,,,,
64,10/17/24 08:30:00 PM,475.4,15.25,,,,,
65,10/17/24 09:00:00 PM,471.4,15.33,,,,,
66,10/17/24 09:30:00 PM,473.8,15.21,,,,,
67,10/17/24 10:00:00 PM,473.8,15.11,,,,,
68,10/17/24 10:30:00 PM,471.0,15.22,,,,,
69,10/17/24 11:00:00 PM,471.0,15.21,,,,,
70,10/17/24 11:30:00 PM,471.0,15.21,,,,,
71,10/18/24 12:00:00 AM,470.6,15.19,,,,,
72,10/18/24 12:30:00 AM,470.6,15.30,,,,,
73,10/18/24 01:00:00 AM,469.8,15.19,,,,,
74,10/18/24 01:30:00 AM,470.2,15.18,,,,,
75,10/18/24 02:00:00 AM,469.9,15.15,,,,,
76,10/18/24 02:30:00 AM,469.9,15.15,,,,,
77,10/18/24 03:00:00 AM,470.3,15.15,,,,,
78,10/18/24 03:30:00 AM,469.5,15.11,,,,,
79,10/18/24 04:00:00 AM,469.9,15.05,,,,,
80,10/18/24 04:30:00 AM,469.9,15.03,,,,,
81,10/18/24 05:00:00 AM,471.9,14.98,,,,,
82,10/18/24 05:30:00 AM,468.0,14.98,,,,,
83,10/18/24 06:00:00 AM,468.0,14.99,,,,,
84,10/18/24 06:30:00 AM,468.4,14.98,,,,,
85,10/18/24 07:00:00 AM,468.8,14.93,,,,,
86,10/18/24 07:30:00 AM,471.6,14.85,,,,,
