"Plot Title: Waubesa Bottom"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21506942, SEN S/N: 21506942)","Temp, °C (LGR S/N: 21506942, SEN S/N: 21506942)","Coupler Detached (LGR S/N: 21506942)","Coupler Attached (LGR S/N: 21506942)","Host Connected (LGR S/N: 21506942)","Stopped (LGR S/N: 21506942)","End Of File (LGR S/N: 21506942)"
1,10/14/24 02:00:00 PM,469.0,15.71,Logged,,,,
2,10/14/24 02:30:00 PM,469.0,15.67,,,,,
3,10/14/24 03:00:00 PM,468.6,15.69,,,,,
4,10/14/24 03:30:00 PM,468.2,15.65,,,,,
5,10/14/24 04:00:00 PM,468.2,15.63,,,,,
6,10/14/24 04:30:00 PM,468.6,15.60,,,,,
7,10/14/24 05:00:00 PM,468.3,15.53,,,,,
8,10/14/24 05:30:00 PM,468.3,15.50,,,,,
9,10/14/24 06:00:00 PM,468.3,15.47,,,,,
10,10/14/24 06:30:00 PM,468.7,15.55,,,,,
11,10/14/24 07:00:00 PM,467.5,15.48,,,,,
12,10/14/24 07:30:00 PM,468.3,15.55,,,,,
13,10/14/24 08:00:00 PM,468.3,15.53,,,,,
14,10/14/24 08:30:00 PM,468.7,15.48,,,,,
15,10/14/24 09:00:00 PM,468.7,15.51,,,,,
16,10/14/24 09:30:00 PM,468.7,15.48,,,,,
17,10/14/24 10:00:00 PM,469.5,15.57,,,,,
18,10/14/24 10:30:00 PM,469.5,15.52,,,,,
19,10/14/24 11:00:00 PM,468.9,15.87,,,,,
20,10/14/24 11:30:00 PM,469.9,15.53,,,,,
21,10/15/24 12:00:00 AM,469.9,15.52,,,,,
22,10/15/24 12:30:00 AM,469.8,15.61,,,,,
23,10/15/24 01:00:00 AM,468.6,15.76,,,,,
24,10/15/24 01:30:00 AM,469.9,15.52,,,,,
25,10/15/24 02:00:00 AM,468.5,15.82,,,,,
26,10/15/24 02:30:00 AM,469.4,15.67,,,,,
27,10/15/24 03:00:00 AM,469.9,15.55,,,,,
28,10/15/24 03:30:00 AM,469.5,15.57,,,,,
29,10/15/24 04:00:00 AM,468.6,15.71,,,,,
30,10/15/24 04:30:00 AM,467.8,15.71,,,,,
31,10/15/24 05:00:00 AM,467.4,15.69,,,,,
32,10/15/24 05:30:00 AM,467.4,15.67,,,,,
33,10/15/24 06:00:00 AM,467.4,15.65,,,,,
34,10/15/24 06:30:00 AM,467.0,15.62,,,,,
35,10/15/24 07:00:00 AM,466.6,15.61,,,,,
36,10/15/24 07:30:00 AM,466.2,15.58,,,,,
37,10/15/24 08:00:00 AM,466.2,15.56,,,,,
38,10/15/24 08:30:00 AM,466.3,15.55,,,,,
39,10/15/24 09:00:00 AM,465.5,15.52,,,,,
40,10/15/24 09:30:00 AM,465.5,15.51,,,,,
41,10/15/24 10:00:00 AM,465.5,15.51,,,,,
42,10/15/24 10:30:00 AM,464.3,15.42,,,,,
43,10/15/24 11:00:00 AM,464.3,15.43,,,,,
44,10/15/24 11:30:00 AM,463.1,15.36,,,,,
45,10/15/24 12:00:00 PM,462.7,15.31,,,,,
46,10/15/24 12:30:00 PM,462.8,15.27,,,,,
47,10/15/24 01:00:00 PM,462.0,15.22,,,,,
48,10/15/24 01:30:00 PM,461.6,15.17,,,,,
49,10/15/24 02:00:00 PM,461.2,15.18,,,,,
50,10/15/24 02:30:00 PM,459.6,15.04,,,,,
51,10/15/24 03:00:00 PM,460.4,15.09,,,,,
52,10/15/24 03:30:00 PM,458.9,14.99,,,,,
53,10/15/24 04:00:00 PM,458.1,14.91,,,,,
54,10/15/24 04:30:00 PM,457.3,14.85,,,,,
55,10/15/24 05:00:00 PM,457.7,14.88,,,,,
56,10/15/24 05:30:00 PM,457.7,14.89,,,,,
57,10/15/24 06:00:00 PM,457.3,14.86,,,,,
58,10/15/24 06:30:00 PM,457.3,14.86,,,,,
59,10/15/24 07:00:00 PM,456.5,14.80,,,,,
60,10/15/24 07:30:00 PM,456.5,14.80,,,,,
61,10/15/24 08:00:00 PM,456.9,14.83,,,,,
62,10/15/24 08:30:00 PM,456.9,14.83,,,,,
63,10/15/24 09:00:00 PM,456.9,14.83,,,,,
64,10/15/24 09:30:00 PM,456.5,14.81,,,,,
65,10/15/24 10:00:00 PM,456.5,14.80,,,,,
66,10/15/24 10:30:00 PM,456.6,14.75,,,,,
67,10/15/24 11:00:00 PM,456.5,14.79,,,,,
68,10/15/24 11:30:00 PM,456.5,14.76,,,,,
69,10/16/24 12:00:00 AM,455.8,14.69,,,,,
70,10/16/24 12:30:00 AM,455.8,14.65,,,,,
71,10/16/24 01:00:00 AM,455.8,14.65,,,,,
72,10/16/24 01:30:00 AM,455.4,14.65,,,,,
73,10/16/24 02:00:00 AM,455.4,14.62,,,,,
74,10/16/24 02:30:00 AM,455.4,14.66,,,,,
75,10/16/24 03:00:00 AM,455.8,14.66,,,,,
76,10/16/24 03:30:00 AM,455.8,14.65,,,,,
77,10/16/24 04:00:00 AM,455.4,14.62,,,,,
78,10/16/24 04:30:00 AM,455.4,14.61,,,,,
79,10/16/24 05:00:00 AM,455.8,14.62,,,,,
80,10/16/24 05:30:00 AM,455.8,14.57,,,,,
81,10/16/24 06:00:00 AM,455.4,14.57,,,,,
82,10/16/24 06:30:00 AM,455.4,14.56,,,,,
83,10/16/24 07:00:00 AM,454.6,14.55,,,,,
84,10/16/24 07:30:00 AM,454.6,14.52,,,,,
85,10/16/24 08:00:00 AM,454.7,14.51,,,,,
86,10/16/24 08:30:00 AM,454.7,14.51,,,,,
87,10/16/24 09:00:00 AM,454.7,14.50,,,,,
88,10/16/24 09:30:00 AM,455.1,14.51,,,,,
89,10/16/24 10:00:00 AM,454.6,14.54,,,,,
90,10/16/24 10:30:00 AM,455.4,14.55,,,,,
91,10/16/24 11:00:00 AM,455.0,14.55,,,,,
92,10/16/24 11:30:00 AM,455.4,14.55,,,,,
93,10/16/24 12:00:00 PM,455.5,14.51,,,,,
94,10/16/24 12:30:00 PM,454.7,14.49,,,,,
95,10/16/24 01:00:00 PM,454.7,14.47,,,,,
96,10/16/24 01:30:00 PM,455.1,14.47,,,,,
97,10/16/24 02:00:00 PM,454.7,14.46,,,,,
98,10/16/24 02:30:00 PM,454.7,14.45,,,,,
99,10/16/24 03:00:00 PM,454.7,14.45,,,,,
100,10/16/24 03:30:00 PM,454.7,14.45,,,,,
101,10/16/24 04:00:00 PM,454.7,14.45,,,,,
102,10/16/24 04:30:00 PM,454.7,14.46,,,,,
103,10/16/24 05:00:00 PM,454.7,14.47,,,,,
104,10/16/24 05:30:00 PM,454.7,14.47,,,,,
105,10/16/24 06:00:00 PM,455.5,14.47,,,,,
106,10/16/24 06:30:00 PM,456.7,14.49,,,,,
107,10/16/24 07:00:00 PM,454.1,13.98,,,,,
