"Plot Title: Yahara 02m"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21483256, SEN S/N: 21483256)","Temp, °C (LGR S/N: 21483256, SEN S/N: 21483256)","Coupler Detached (LGR S/N: 21483256)","Coupler Attached (LGR S/N: 21483256)","Host Connected (LGR S/N: 21483256)","Stopped (LGR S/N: 21483256)","End Of File (LGR S/N: 21483256)"
1,10/08/24 03:00:00 PM,458.2,18.63,Logged,,,,
2,10/08/24 03:30:00 PM,458.6,18.63,,,,,
3,10/08/24 04:00:00 PM,459.4,18.75,,,,,
4,10/08/24 04:30:00 PM,459.0,18.74,,,,,
5,10/08/24 05:00:00 PM,459.4,18.74,,,,,
6,10/08/24 05:30:00 PM,460.5,18.81,,,,,
7,10/08/24 06:00:00 PM,460.1,18.79,,,,,
8,10/08/24 06:30:00 PM,460.2,18.76,,,,,
9,10/08/24 07:00:00 PM,459.4,18.71,,,,,
10,10/08/24 07:30:00 PM,459.4,18.68,,,,,
11,10/08/24 08:00:00 PM,459.0,18.66,,,,,
12,10/08/24 08:30:00 PM,459.0,18.64,,,,,
13,10/08/24 09:00:00 PM,458.6,18.62,,,,,
14,10/08/24 09:30:00 PM,458.6,18.60,,,,,
15,10/08/24 10:00:00 PM,458.7,18.58,,,,,
16,10/08/24 10:30:00 PM,458.7,18.55,,,,,
17,10/08/24 11:00:00 PM,458.3,18.52,,,,,
18,10/08/24 11:30:00 PM,458.7,18.52,,,,,
19,10/09/24 12:00:00 AM,458.3,18.49,,,,,
20,10/09/24 12:30:00 AM,457.5,18.47,,,,,
21,10/09/24 01:00:00 AM,457.5,18.47,,,,,
22,10/09/24 01:30:00 AM,457.5,18.43,,,,,
23,10/09/24 02:00:00 AM,457.1,18.43,,,,,
24,10/09/24 02:30:00 AM,457.1,18.42,,,,,
25,10/09/24 03:00:00 AM,456.7,18.39,,,,,
26,10/09/24 03:30:00 AM,456.8,18.37,,,,,
27,10/09/24 04:00:00 AM,456.8,18.34,,,,,
28,10/09/24 04:30:00 AM,456.4,18.32,,,,,
29,10/09/24 05:00:00 AM,456.4,18.32,,,,,
30,10/09/24 05:30:00 AM,455.6,18.29,,,,,
31,10/09/24 06:00:00 AM,455.6,18.28,,,,,
32,10/09/24 06:30:00 AM,455.6,18.26,,,,,
33,10/09/24 07:00:00 AM,455.2,18.18,,,,,
34,10/09/24 07:30:00 AM,454.9,18.17,,,,,
35,10/09/24 08:00:00 AM,454.9,18.15,,,,,
36,10/09/24 08:30:00 AM,454.1,18.10,,,,,
37,10/09/24 09:00:00 AM,454.5,18.08,,,,,
38,10/09/24 09:30:00 AM,454.5,18.10,,,,,
39,10/09/24 10:00:00 AM,454.5,18.12,,,,,
40,10/09/24 10:30:00 AM,454.9,18.16,,,,,
41,10/09/24 11:00:00 AM,454.9,18.16,,,,,
42,10/09/24 11:30:00 AM,455.2,18.26,,,,,
43,10/09/24 12:00:00 PM,456.0,18.34,,,,,
44,10/09/24 12:30:00 PM,457.9,18.53,,,,,
45,10/09/24 01:00:00 PM,458.7,18.57,,,,,
46,10/09/24 01:30:00 PM,458.7,18.58,,,,,
47,10/09/24 02:00:00 PM,458.6,18.62,,,,,
48,10/09/24 02:30:00 PM,459.4,18.71,,,,,
49,10/09/24 03:00:00 PM,459.8,18.74,,,,,
50,10/09/24 03:30:00 PM,459.7,18.80,,,,,
51,10/09/24 04:00:00 PM,460.9,18.85,,,,,
52,10/09/24 04:30:00 PM,462.1,18.92,,,,,
53,10/09/24 05:00:00 PM,463.2,19.01,,,,,
54,10/09/24 05:30:00 PM,463.6,19.01,,,,,
55,10/09/24 06:00:00 PM,463.6,19.01,,,,,
56,10/09/24 06:30:00 PM,463.6,19.07,,,,,
57,10/09/24 07:00:00 PM,462.8,19.01,,,,,
58,10/09/24 07:30:00 PM,462.5,18.97,,,,,
59,10/09/24 08:00:00 PM,462.1,18.94,,,,,
60,10/09/24 08:30:00 PM,461.7,18.89,,,,,
61,10/09/24 09:00:00 PM,461.7,18.84,,,,,
62,10/09/24 09:30:00 PM,461.0,18.78,,,,,
63,10/09/24 10:00:00 PM,461.0,18.75,,,,,
64,10/09/24 10:30:00 PM,460.2,18.70,,,,,
65,10/09/24 11:00:00 PM,459.8,18.70,,,,,
66,10/09/24 11:30:00 PM,459.8,18.69,,,,,
67,10/10/24 12:00:00 AM,459.4,18.69,,,,,
68,10/10/24 12:30:00 AM,459.8,18.68,,,,,
69,10/10/24 01:00:00 AM,459.4,18.65,,,,,
70,10/10/24 01:30:00 AM,458.6,18.63,,,,,
71,10/10/24 02:00:00 AM,458.6,18.60,,,,,
72,10/10/24 02:30:00 AM,458.6,18.59,,,,,
73,10/10/24 03:00:00 AM,458.7,18.58,,,,,
74,10/10/24 03:30:00 AM,458.7,18.57,,,,,
75,10/10/24 04:00:00 AM,458.7,18.57,,,,,
76,10/10/24 04:30:00 AM,458.3,18.54,,,,,
77,10/10/24 05:00:00 AM,458.3,18.53,,,,,
78,10/10/24 05:30:00 AM,457.9,18.50,,,,,
79,10/10/24 06:00:00 AM,457.5,18.45,,,,,
80,10/10/24 06:30:00 AM,457.5,18.43,,,,,
81,10/10/24 07:00:00 AM,457.1,18.41,,,,,
82,10/10/24 07:30:00 AM,456.8,18.36,,,,,
83,10/10/24 08:00:00 AM,456.8,18.36,,,,,
84,10/10/24 08:30:00 AM,456.8,18.38,,,,,
85,10/10/24 09:00:00 AM,456.7,18.42,,,,,
86,10/10/24 09:30:00 AM,457.9,18.50,,,,,
87,10/10/24 10:00:00 AM,457.5,18.53,,,,,
88,10/10/24 10:30:00 AM,457.9,18.58,,,,,
89,10/10/24 11:00:00 AM,457.5,18.53,,,,,
90,10/10/24 11:30:00 AM,458.6,18.64,,,,,
91,10/10/24 12:00:00 PM,458.2,18.64,,,,,
92,10/10/24 12:30:00 PM,458.2,18.64,,,,,
93,10/10/24 01:00:00 PM,458.2,18.65,,,,,
94,10/10/24 01:30:00 PM,458.2,18.68,,,,,
95,10/10/24 02:00:00 PM,459.4,18.78,,,,,
96,10/10/24 02:30:00 PM,460.9,18.89,,,,,
97,10/10/24 03:00:00 PM,460.1,18.88,,,,,
98,10/10/24 03:30:00 PM,460.9,18.96,,,,,
99,10/10/24 04:00:00 PM,460.9,18.92,,,,,
100,10/10/24 04:30:00 PM,462.0,19.01,,,,,
101,10/10/24 05:00:00 PM,462.4,19.10,,,,,
102,10/10/24 05:30:00 PM,462.4,19.09,,,,,
103,10/10/24 06:00:00 PM,462.4,19.07,,,,,
104,10/10/24 06:30:00 PM,463.2,19.09,,,,,
105,10/10/24 07:00:00 PM,464.4,19.09,,,,,
106,10/10/24 07:30:00 PM,462.8,19.07,,,,,
107,10/10/24 08:00:00 PM,462.8,19.07,,,,,
108,10/10/24 08:30:00 PM,462.8,19.04,,,,,
109,10/10/24 09:00:00 PM,462.4,19.02,,,,,
110,10/10/24 09:30:00 PM,462.4,19.00,,,,,
111,10/10/24 10:00:00 PM,461.7,18.96,,,,,
112,10/10/24 10:30:00 PM,462.1,18.96,,,,,
113,10/10/24 11:00:00 PM,461.3,18.91,,,,,
114,10/10/24 11:30:00 PM,458.9,18.90,,,,,
115,10/11/24 12:00:00 AM,460.9,18.89,,,,,
116,10/11/24 12:30:00 AM,460.9,18.86,,,,,
117,10/11/24 01:00:00 AM,460.5,18.83,,,,,
118,10/11/24 01:30:00 AM,460.1,18.80,,,,,
119,10/11/24 02:00:00 AM,460.2,18.76,,,,,
120,10/11/24 02:30:00 AM,459.8,18.74,,,,,
121,10/11/24 03:00:00 AM,459.0,18.70,,,,,
122,10/11/24 03:30:00 AM,456.6,18.68,,,,,
123,10/11/24 04:00:00 AM,459.0,18.65,,,,,
124,10/11/24 04:30:00 AM,458.6,18.62,,,,,
125,10/11/24 05:00:00 AM,458.6,18.59,,,,,
126,10/11/24 05:30:00 AM,458.3,18.57,,,,,
127,10/11/24 06:00:00 AM,457.9,18.53,,,,,
128,10/11/24 06:30:00 AM,457.9,18.49,,,,,
129,10/11/24 07:00:00 AM,457.1,18.45,,,,,
130,10/11/24 07:30:00 AM,456.7,18.42,,,,,
131,10/11/24 08:00:00 AM,456.7,18.41,,,,,
132,10/11/24 08:30:00 AM,456.8,18.38,,,,,
133,10/11/24 09:00:00 AM,456.8,18.34,,,,,
134,10/11/24 09:30:00 AM,456.8,18.32,,,,,
135,10/11/24 10:00:00 AM,458.0,18.31,,,,,
136,10/11/24 10:30:00 AM,458.8,18.29,,,,,
137,10/11/24 11:00:00 AM,458.8,18.31,,,,,
138,10/11/24 11:30:00 AM,459.2,18.34,,,,,
139,10/11/24 12:00:00 PM,458.7,18.38,,,,,
140,10/11/24 12:30:00 PM,458.7,18.44,,,,,
141,10/11/24 01:00:00 PM,458.7,18.50,,,,,
142,10/11/24 01:30:00 PM,459.8,18.59,,,,,
143,10/11/24 02:00:00 PM,460.6,18.65,,,,,
144,10/11/24 02:30:00 PM,464.2,18.68,,,,,
145,10/11/24 03:00:00 PM,465.0,18.73,,,,,
146,10/11/24 03:30:00 PM,463.0,18.73,,,,,
147,10/11/24 04:00:00 PM,461.0,18.74,,,,,
148,10/11/24 04:30:00 PM,461.0,18.75,,,,,
149,10/11/24 05:00:00 PM,460.6,18.74,,,,,
150,10/11/24 05:30:00 PM,460.2,18.70,,,,,
151,10/11/24 06:00:00 PM,460.2,18.68,,,,,
152,10/11/24 06:30:00 PM,460.2,18.64,,,,,
153,10/11/24 07:00:00 PM,459.4,18.59,,,,,
154,10/11/24 07:30:00 PM,459.1,18.55,,,,,
155,10/11/24 08:00:00 PM,459.1,18.53,,,,,
156,10/11/24 08:30:00 PM,459.1,18.52,,,,,
157,10/11/24 09:00:00 PM,458.7,18.49,,,,,
158,10/11/24 09:30:00 PM,458.3,18.47,,,,,
159,10/11/24 10:00:00 PM,458.7,18.48,,,,,
160,10/11/24 10:30:00 PM,458.7,18.45,,,,,
161,10/11/24 11:00:00 PM,458.3,18.42,,,,,
162,10/11/24 11:30:00 PM,458.3,18.39,,,,,
163,10/12/24 12:00:00 AM,458.0,18.36,,,,,
164,10/12/24 12:30:00 AM,457.2,18.33,,,,,
165,10/12/24 01:00:00 AM,457.6,18.33,,,,,
166,10/12/24 01:30:00 AM,457.2,18.31,,,,,
167,10/12/24 02:00:00 AM,457.2,18.28,,,,,
168,10/12/24 02:30:00 AM,457.2,18.24,,,,,
169,10/12/24 03:00:00 AM,456.8,18.24,,,,,
170,10/12/24 03:30:00 AM,456.4,18.23,,,,,
171,10/12/24 04:00:00 AM,456.8,18.23,,,,,
172,10/12/24 04:30:00 AM,456.4,18.22,,,,,
173,10/12/24 05:00:00 AM,456.4,18.21,,,,,
174,10/12/24 05:30:00 AM,456.4,18.19,,,,,
175,10/12/24 06:00:00 AM,456.1,18.16,,,,,
176,10/12/24 06:30:00 AM,456.1,18.13,,,,,
177,10/12/24 07:00:00 AM,455.7,18.11,,,,,
178,10/12/24 07:30:00 AM,455.7,18.10,,,,,
179,10/12/24 08:00:00 AM,455.3,18.06,,,,,
180,10/12/24 08:30:00 AM,454.9,18.05,,,,,
181,10/12/24 09:00:00 AM,454.9,18.05,,,,,
182,10/12/24 09:30:00 AM,454.9,18.07,,,,,
183,10/12/24 10:00:00 AM,454.9,18.08,,,,,
184,10/12/24 10:30:00 AM,455.3,18.11,,,,,
185,10/12/24 11:00:00 AM,454.9,18.11,,,,,
186,10/12/24 11:30:00 AM,455.7,18.13,,,,,
187,10/12/24 12:00:00 PM,456.1,18.17,,,,,
188,10/12/24 12:30:00 PM,456.0,18.26,,,,,
189,10/12/24 01:00:00 PM,456.8,18.31,,,,,
190,10/12/24 01:30:00 PM,456.4,18.29,,,,,
191,10/12/24 02:00:00 PM,456.8,18.33,,,,,
192,10/12/24 02:30:00 PM,456.8,18.33,,,,,
193,10/12/24 03:00:00 PM,456.8,18.32,,,,,
194,10/12/24 03:30:00 PM,456.4,18.31,,,,,
195,10/12/24 04:00:00 PM,456.8,18.29,,,,,
196,10/12/24 04:30:00 PM,456.4,18.28,,,,,
197,10/12/24 05:00:00 PM,456.4,18.27,,,,,
198,10/12/24 05:30:00 PM,455.2,18.24,,,,,
199,10/12/24 06:00:00 PM,455.2,18.28,,,,,
