"Plot Title: Yahara Bottom"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 21483254, SEN S/N: 21483254)","Temp, °C (LGR S/N: 21483254, SEN S/N: 21483254)","Coupler Detached (LGR S/N: 21483254)","Coupler Attached (LGR S/N: 21483254)","Host Connected (LGR S/N: 21483254)","Stopped (LGR S/N: 21483254)","End Of File (LGR S/N: 21483254)"
1,10/08/24 03:00:00 PM,458.5,18.49,Logged,,,,
2,10/08/24 03:30:00 PM,458.1,18.49,,,,,
3,10/08/24 04:00:00 PM,458.9,18.56,,,,,
4,10/08/24 04:30:00 PM,458.2,18.46,,,,,
5,10/08/24 05:00:00 PM,460.3,18.16,,,,,
6,10/08/24 05:30:00 PM,457.8,18.29,,,,,
7,10/08/24 06:00:00 PM,457.8,18.38,,,,,
8,10/08/24 06:30:00 PM,459.0,18.44,,,,,
9,10/08/24 07:00:00 PM,459.0,18.42,,,,,
10,10/08/24 07:30:00 PM,460.5,18.60,,,,,
11,10/08/24 08:00:00 PM,458.3,18.25,,,,,
12,10/08/24 08:30:00 PM,460.1,18.60,,,,,
13,10/08/24 09:00:00 PM,459.7,18.48,,,,,
14,10/08/24 09:30:00 PM,460.6,18.46,,,,,
15,10/08/24 10:00:00 PM,460.5,18.51,,,,,
16,10/08/24 10:30:00 PM,460.5,18.47,,,,,
17,10/08/24 11:00:00 PM,459.3,18.51,,,,,
18,10/08/24 11:30:00 PM,460.5,18.47,,,,,
19,10/09/24 12:00:00 AM,459.7,18.47,,,,,
20,10/09/24 12:30:00 AM,459.4,18.44,,,,,
21,10/09/24 01:00:00 AM,459.0,18.46,,,,,
22,10/09/24 01:30:00 AM,459.0,18.43,,,,,
23,10/09/24 02:00:00 AM,459.0,18.42,,,,,
24,10/09/24 02:30:00 AM,459.0,18.40,,,,,
25,10/09/24 03:00:00 AM,458.6,18.38,,,,,
26,10/09/24 03:30:00 AM,458.2,18.35,,,,,
27,10/09/24 04:00:00 AM,458.2,18.33,,,,,
28,10/09/24 04:30:00 AM,458.2,18.31,,,,,
29,10/09/24 05:00:00 AM,458.2,18.31,,,,,
30,10/09/24 05:30:00 AM,457.5,18.20,,,,,
31,10/09/24 06:00:00 AM,457.1,18.21,,,,,
32,10/09/24 06:30:00 AM,453.7,17.77,,,,,
33,10/09/24 07:00:00 AM,455.2,17.90,,,,,
